Year,County,DSCI,Income,Agriculture,Aquaculture,Barren,Developed,Forest,Grassland,Open_Water,Shrubland,Wetlands,VACO2,PQ1,PQ2,PQ3,PQ4,TQ1,TQ2,TQ3,TQ4
2008,51067,181.9811320754717,31454.0,0.120511508351954,0.0,0.0008061901339125,0.0429409777020797,0.6634602989202619,0.1457324171445536,0.0263274059721549,0.0002158304295513,5.371345531821804e-06,116.7632089600013,1.8233333333333335,3.8733333333333335,3.7866666666666666,2.5766666666666667,41.36666666666667,63.96666666666667,71.43333333333334,46.23333333333333
2009,51067,27.865384615384617,30916.0,0.103555147116271,0.0,0.001854090816757,0.0425459396534212,0.662632623404222,0.16187868181321,0.0270403300154694,0.0004858626185602,7.324562088847914e-06,105.9076994903832,2.983333333333333,5.226666666666667,3.7933333333333334,6.010000000000001,39.699999999999996,64.06666666666666,70.96666666666668,46.73333333333333
2010,51067,27.653846153846157,31328.0,0.0875724643342656,0.0,0.0018277223932371,0.040607860524712,0.6600319155585418,0.1817594965389002,0.0273132920293138,0.0008872486210291,0.0,111.8865601746905,4.456666666666666,2.76,5.24,2.973333333333333,37.833333333333336,67.26666666666667,74.53333333333335,45.1
2011,51067,50.34615384615385,33190.0,0.0889773153429067,0.0,0.0028971084582089,0.0422793255933871,0.6724734167226589,0.1663300623466725,0.026095461506008,0.0009165468693845,3.076316077316124e-05,102.5194001632323,2.7166666666666663,4.246666666666667,3.7399999999999998,4.873333333333334,40.4,65.7,73.8,48.9
2012,51067,62.11538461538461,34500.0,0.0866114817882088,0.0,0.0035055354157226,0.0424932028063815,0.6730706126849696,0.166485343062956,0.0266325960591902,0.0011704650217978,3.076316077316124e-05,98.56258399481332,2.6633333333333336,3.6300000000000003,3.6366666666666667,2.0566666666666666,45.6,65.0,73.26666666666667,47.300000000000004
2013,51067,16.0188679245283,34415.0,0.082117618794631,0.0,0.0013179328718533,0.0421045127115333,0.6672002203228277,0.1806515344469272,0.0263269176680156,0.0002793099676547,1.9532165570261107e-06,105.7674022312763,4.423333333333333,5.2,4.226666666666667,3.5866666666666673,39.4,63.86666666666667,71.53333333333332,47.43333333333334
2014,51067,22.48076923076923,35895.0,0.083990753472819,0.0,0.0013457662077909,0.0462970920511899,0.6536849383564854,0.1842727979436536,0.0273582160101254,0.0029776786411863,7.275731674922262e-05,107.4426175725116,3.1666666666666665,3.0233333333333334,4.0200000000000005,3.24,36.4,64.86666666666667,70.76666666666667,47.03333333333333
2015,51067,43.96153846153846,37637.0,0.1372124865228057,0.0,0.0057512461521633,0.0459577206744066,0.6790645459943435,0.0992693016860165,0.0271838914324108,0.0055300443770801,3.076316077316124e-05,107.6209517155737,2.26,4.043333333333334,5.103333333333333,5.903333333333333,37.9,66.16666666666667,72.86666666666667,52.53333333333334
2016,51067,25.384615384615383,38567.0,0.1202229206056533,0.0,0.0069554041595699,0.0464767879744363,0.6826110989577636,0.1082594691938684,0.0276726838758066,0.0077440153444692,5.761988843227026e-05,110.0655001561514,4.126666666666666,4.23,4.04,2.8633333333333333,41.300000000000004,63.86666666666667,75.5,49.76666666666667
2017,51067,59.25,39633.0,0.1265967545353688,0.0,0.0010586433739081,0.0462702353235307,0.688918035220401,0.1054712525587136,0.0272634850071097,0.0044132928106004,8.30117036736097e-06,105.5849737356018,2.59,6.6000000000000005,2.7300000000000004,1.8966666666666665,44.866666666666674,65.36666666666667,72.26666666666667,48.06666666666666
