,Year,County,DSCI
0,2000,Accomack,5.769230769230769
1,2001,Accomack,52.92307692307692
2,2002,Accomack,224.96226415094338
3,2003,Accomack,0.0
4,2004,Accomack,0.0
5,2005,Accomack,16.692307692307693
6,2006,Accomack,35.17307692307692
7,2007,Accomack,110.36538461538461
8,2008,Accomack,97.9622641509434
9,2009,Accomack,29.53846153846154
10,2010,Accomack,53.78846153846154
11,2011,Accomack,70.0
12,2012,Accomack,80.78846153846153
13,2013,Accomack,3.69811320754717
14,2014,Accomack,18.923076923076923
15,2015,Accomack,12.711538461538462
16,2016,Accomack,6.480769230769231
17,2017,Accomack,7.884615384615385
18,2018,Accomack,31.53846153846154
19,2019,Accomack,7.622641509433962
20,2020,Accomack,14.442307692307692
21,2021,Accomack,43.55769230769231
22,2022,Accomack,100.40384615384616
23,2023,Accomack,134.51923076923077
24,2024,Accomack,49.4
25,2000,Fauquier,10.48076923076923
26,2001,Fauquier,39.5
27,2002,Fauquier,213.71698113207546
28,2003,Fauquier,0.0
29,2004,Fauquier,0.0
30,2005,Fauquier,15.807692307692308
31,2006,Fauquier,38.71153846153846
32,2007,Fauquier,105.6923076923077
33,2008,Fauquier,70.56603773584905
34,2009,Fauquier,37.80769230769231
35,2010,Fauquier,58.59615384615385
36,2011,Fauquier,55.86538461538461
37,2012,Fauquier,54.67307692307692
38,2013,Fauquier,5.60377358490566
39,2014,Fauquier,16.78846153846154
40,2015,Fauquier,1.1538461538461537
41,2016,Fauquier,31.673076923076923
42,2017,Fauquier,79.09615384615384
43,2018,Fauquier,35.73076923076923
44,2019,Fauquier,23.547169811320753
45,2020,Fauquier,9.961538461538462
46,2021,Fauquier,12.48076923076923
47,2022,Fauquier,26.884615384615383
48,2023,Fauquier,102.09615384615384
49,2024,Fauquier,51.0
50,2000,Greensville,8.826923076923077
51,2001,Greensville,84.88461538461539
52,2002,Greensville,267.07547169811323
53,2003,Greensville,0.0
54,2004,Greensville,0.0
55,2005,Greensville,34.59615384615385
56,2006,Greensville,57.78846153846154
57,2007,Greensville,136.26923076923077
58,2008,Greensville,165.35849056603774
59,2009,Greensville,46.55769230769231
60,2010,Greensville,79.65384615384616
61,2011,Greensville,80.38461538461539
62,2012,Greensville,81.73076923076923
63,2013,Greensville,26.60377358490566
64,2014,Greensville,3.8076923076923075
65,2015,Greensville,12.807692307692308
66,2016,Greensville,8.788461538461538
67,2017,Greensville,38.5
68,2018,Greensville,48.07692307692308
69,2019,Greensville,27.641509433962263
70,2020,Greensville,1.9230769230769231
71,2021,Greensville,30.807692307692307
72,2022,Greensville,47.42307692307692
73,2023,Greensville,16.0
74,2024,Greensville,0.0
75,2000,Hanover,10.25
76,2001,Hanover,60.86538461538461
77,2002,Hanover,293.47169811320754
78,2003,Hanover,0.0
79,2004,Hanover,0.0
80,2005,Hanover,21.153846153846153
81,2006,Hanover,54.38461538461539
82,2007,Hanover,103.11538461538461
83,2008,Hanover,88.75471698113208
84,2009,Hanover,26.942307692307693
85,2010,Hanover,67.82692307692308
86,2011,Hanover,49.63461538461539
87,2012,Hanover,54.57692307692308
88,2013,Hanover,8.528301886792454
89,2014,Hanover,22.576923076923077
90,2015,Hanover,9.788461538461538
91,2016,Hanover,7.096153846153846
92,2017,Hanover,43.63461538461539
93,2018,Hanover,41.86538461538461
94,2019,Hanover,28.69811320754717
95,2020,Hanover,3.3846153846153846
96,2021,Hanover,19.365384615384617
97,2022,Hanover,62.03846153846154
98,2023,Hanover,46.67307692307692
99,2024,Hanover,0.0
100,2000,Rockingham,40.84615384615385
101,2001,Rockingham,37.5
102,2002,Rockingham,181.83018867924528
103,2003,Rockingham,0.0
104,2004,Rockingham,0.0
105,2005,Rockingham,10.826923076923077
106,2006,Rockingham,34.5
107,2007,Rockingham,57.21153846153846
108,2008,Rockingham,30.71698113207547
109,2009,Rockingham,54.51923076923077
110,2010,Rockingham,77.78846153846153
111,2011,Rockingham,45.17307692307692
112,2012,Rockingham,40.59615384615385
113,2013,Rockingham,22.90566037735849
114,2014,Rockingham,28.115384615384617
115,2015,Rockingham,7.423076923076923
116,2016,Rockingham,29.153846153846153
117,2017,Rockingham,54.82692307692308
118,2018,Rockingham,25.384615384615383
119,2019,Rockingham,9.60377358490566
120,2020,Rockingham,0.057692307692307696
121,2021,Rockingham,38.73076923076923
122,2022,Rockingham,30.25
123,2023,Rockingham,125.17307692307692
124,2024,Rockingham,113.6
125,2000,Wise,131.01923076923077
126,2001,Wise,124.3076923076923
127,2002,Wise,95.71698113207547
128,2003,Wise,0.0
129,2004,Wise,0.0
130,2005,Wise,56.88461538461539
131,2006,Wise,38.42307692307692
132,2007,Wise,277.78846153846155
133,2008,Wise,214.83018867924528
134,2009,Wise,33.30769230769231
135,2010,Wise,2.1538461538461537
136,2011,Wise,7.6923076923076925
137,2012,Wise,9.634615384615385
138,2013,Wise,0.0
139,2014,Wise,22.73076923076923
140,2015,Wise,18.826923076923077
141,2016,Wise,57.40384615384615
142,2017,Wise,7.230769230769231
143,2018,Wise,8.115384615384615
144,2019,Wise,33.905660377358494
145,2020,Wise,5.538461538461538
146,2021,Wise,10.057692307692308
147,2022,Wise,38.80769230769231
148,2023,Wise,80.15384615384616
149,2024,Wise,115.0
