Biomass,Power,Water Availability,Log_Bio,Log_Water,Log_Power,FIPS,Income,DSCI,PQ1,PQ2,PQ3,PQ4,TQ1,TQ2,TQ3,TQ4,Forest,Agriculture,Watershed
0.185900523,0.601096785,0.02079334,0.606147692,0.417871126,0.931629859,51001,0.075853984,0.148920321,0.319901478,0.435870432,0.41080502,0.412875817,0.39884877,0.223716558,0.178735632,0.296551724,0.064337906,0.28962376,1
0.354645101,0.49445479,0.157824961,0.754033376,0.718885248,0,51003,0.108094661,0.182010862,0.281477832,0.361576512,0.330149985,0.398267974,0.652956567,0.669414317,0.672844828,0.580574713,0.679813237,0.081093274,1
0.654944781,0.49445479,0.083128121,0.898739499,0.622104973,0,51005,0.187226255,0.147870211,0.208440066,0.382734961,0.309672482,0.361535948,0.590580848,0.651482285,0.660488506,0.53137931,0.897164708,0.020858141,1
0.648260736,0.515919182,0.01898801,0.896296854,0.404926598,0.861198197,51007,0.15746684,0.144258439,0.319835796,0.347694272,0.488827671,0.370653595,0.753322868,0.80824295,0.809482759,0.716206897,0.651585623,0.155516754,1
0.236540779,0.502678702,0.145084534,0.660591799,0.706137786,0.819049029,51009,0.184216715,0.145333145,0.20545156,0.41697782,0.325681053,0.367647059,0.499005756,0.52537961,0.539367816,0.463678161,0.770831045,0.072139699,1
0.099752139,0.516466934,0.082586806,0.4710951,0.621123216,0.862305315,51011,0.140248126,0.158561205,0.278259442,0.427413435,0.398132844,0.403431373,0.42700157,0.337237889,0.280747127,0.347356322,0.662505724,0.159655182,1
0.101753907,0.49445479,0.023823014,0.475249579,0.437398456,0,51013,0.142115328,0.105104875,0.229655172,0.409510132,0.284419957,0.314117647,0.436525379,0.43065799,0.397844828,0.371264368,0.089267657,0.001349194,1
0.42127883,0.49445479,0.126500295,0.794329124,0.685401454,0,51015,0.19792692,0.147819934,0.225123153,0.379990426,0.321456994,0.383071895,0.615070644,0.68647867,0.682758621,0.561379311,0.582227562,0.13779712,1
0.165266118,0,0.098558261,0.579940736,0.647728067,0,51017,0.382681922,0.130588199,0.262561576,0.372107867,0.370890725,0.394607843,0.68100471,0.768185105,0.779741379,0.641724138,0.899830599,0.020851666,1
0.293396508,0.53681465,0.145693281,0.710029731,0.706771664,0.891065574,51019,0.26302591,0.14994267,0.237766831,0.395053455,0.355922865,0.371535948,0.549973836,0.557483731,0.521695402,0.476206897,0.625380049,0.131674641,0
0.086125645,0.49445479,0.155005732,0.440765884,0.716154611,0,51021,0.118442903,0.129918509,0.357996716,0.408425084,0.355310683,0.373594771,0.443537415,0.314678236,0.279310345,0.338735632,0.777309017,0.054449784,0
0.117020404,0.49445479,0.100031216,0.504804067,0.649963646,0,51023,0.149779289,0.110620915,0.249655172,0.355289612,0.318885828,0.310065359,0.42469911,0.373101952,0.334051724,0.345862069,0.749671507,0.082781714,1
0.539179875,0.521036436,0.131652269,0.852539409,0.691437372,0.870592659,51025,0.702974869,0.132096495,0.192873563,0.363204085,0.354637282,0.357810458,0.542124542,0.665365148,0.745114943,0.563563218,0.715015634,0.07522565,0
0.021180154,0.49445479,0.082521961,0.19789158,0.621005186,0,51027,0.391626903,0.134774805,0.155073892,0.41238232,0.309733701,0.345882353,0.453061224,0.475488069,0.497126437,0.423563218,0.889480342,0.001733947,0
0.519162193,0.526422612,0.190122731,0.843583225,0.747116041,0.878699084,51029,0.111129936,0.148214822,0.320656814,0.451635551,0.41046832,0.419183007,0.486865515,0.383658713,0.33045977,0.392528736,0.740311958,0.08261441,1
0.631516169,0.81364689,0.15416357,0.890068237,0.715329363,0.979796665,51031,0.254414051,0.155044742,0.253103448,0.38372427,0.338842975,0.414771242,0.543380429,0.560520607,0.542672414,0.483563218,0.608640976,0.164863907,0
0.336108935,0.49445479,0.039440837,0.741532117,0.510976691,0,51033,0.21368304,0.123942927,0.257931034,0.373607787,0.390388736,0.405065359,0.662271062,0.76109906,0.778304598,0.632528736,0.622195963,0.136588427,1
0.102973573,0.543708642,0.131946461,0.477746676,0.691774951,0.897690397,51035,0.192494737,0.144378886,0.32,0.284697622,0.333884298,0.392156863,0.651072737,0.686912509,0.805747126,0.721034483,0.63368988,0.084686599,0
0.132100851,0.538253999,0.08305708,0.530861485,0.621976489,0.892533647,51036,0.303285831,0.116829884,0.306962233,0.353247168,0.500061218,0.364379085,0.769544741,0.828922632,0.837212644,0.75770115,0.512239449,0.153189539,1
0.681646508,0.512150039,0.165457194,0.908260912,0.726041889,0.852714353,51037,0.397302137,0.109993905,0.297832512,0.381203128,0.444781145,0.384477124,0.73458922,0.826753435,0.857758621,0.731379311,0.652536221,0.136965102,0
0.241023224,0.544519103,0.070362215,0.664874018,0.597086594,0.898407457,51041,0.141136691,0.11375515,0.23589491,0.398595819,0.323048669,0.352810458,0.441758242,0.422704266,0.382614943,0.374022989,0.548452525,0.034519194,1
0.028205293,0.505627581,0.160455802,0.23918357,0.721390166,0.832512318,51043,0.06692044,0.12019805,0.515041051,0.40239349,0.360361188,0.467875817,0.560544218,0.531742589,0.498706897,0.467816092,0.38947883,0.226462696,1
