County,County Name,Watershed,Income,DSCI,PQ1,PQ2,PQ3,PQ4,TQ1,TQ2,TQ3,TQ4,Forest
51001,Accomack,1,0.075853984,0.148920321,0.319901478,0.435870432,0.41080502,0.412875817,0.39884877,0.223716558,0.178735632,0.296551724,0.064337906
51003,Albermarle,1,0.108094661,0.182010862,0.281477832,0.361576512,0.330149985,0.398267974,0.652956567,0.669414317,0.672844828,0.580574713,0.679813237
51005,Alleghany,1,0.187226255,0.147870211,0.208440066,0.382734961,0.309672482,0.361535948,0.590580848,0.651482285,0.660488506,0.53137931,0.897164708
51007,Amelia,1,0.15746684,0.144258439,0.319835796,0.347694272,0.488827671,0.370653595,0.753322868,0.80824295,0.809482759,0.716206897,0.651585623
51009,Amherst,1,0.184216715,0.145333145,0.20545156,0.41697782,0.325681053,0.367647059,0.499005756,0.52537961,0.539367816,0.463678161,0.770831045
51011,Appotmattox,1,0.140248126,0.158561205,0.278259442,0.427413435,0.398132844,0.403431373,0.42700157,0.337237889,0.280747127,0.347356322,0.662505724
51013,Arlington,1,0.142115328,0.105104875,0.229655172,0.409510132,0.284419957,0.314117647,0.436525379,0.43065799,0.397844828,0.371264368,0.089267657
51015,Augusta,1,0.19792692,0.147819934,0.225123153,0.379990426,0.321456994,0.383071895,0.615070644,0.68647867,0.682758621,0.561379311,0.582227562
51017,Bath,1,0.382681922,0.130588199,0.262561576,0.372107867,0.370890725,0.394607843,0.68100471,0.768185105,0.779741379,0.641724138,0.899830599
51019,Bedford,0,0.26302591,0.14994267,0.237766831,0.395053455,0.355922865,0.371535948,0.549973836,0.557483731,0.521695402,0.476206897,0.625380049
51021,Bland,0,0.118442903,0.129918509,0.357996716,0.408425084,0.355310683,0.373594771,0.443537415,0.314678236,0.279310345,0.338735632,0.777309017
51023,Botetourt,1,0.149779289,0.110620915,0.249655172,0.355289612,0.318885828,0.310065359,0.42469911,0.373101952,0.334051724,0.345862069,0.749671507
51025,Brunswick,0,0.702974869,0.132096495,0.192873563,0.363204085,0.354637282,0.357810458,0.542124542,0.665365148,0.745114943,0.563563218,0.715015634
51027,Buchanan,0,0.391626903,0.134774805,0.155073892,0.41238232,0.309733701,0.345882353,0.453061224,0.475488069,0.497126437,0.423563218,0.889480342
