Year,County,Population
2008,Accomack,33970
2008,Fauquier,64558
2008,Greensville,12206
2008,Hanover,99404
2008,Rockingham,75075
2008,Wise,41489
2009,Accomack,33415
2009,Fauquier,64907
2009,Greensville,12272
2009,Hanover,99651
2009,Rockingham,75850
2009,Wise,41454
2010,Accomack,33148
2010,Fauquier,65440
2010,Greensville,12234
2010,Hanover,99902
2010,Rockingham,76408
2010,Wise,41572
2011,Accomack,33225
2011,Fauquier,66032
2011,Greensville,12001
2011,Hanover,99908
2011,Rockingham,76861
2011,Wise,41454
2012,Accomack,33268
2012,Fauquier,66561
2012,Greensville,11745
2012,Hanover,100339
2012,Rockingham,77137
2012,Wise,40909
2013,Accomack,32969
2013,Fauquier,67139
2013,Greensville,11689
2013,Hanover,101065
2013,Rockingham,77419
2013,Wise,40662
2014,Accomack,32971
2014,Fauquier,68116
2014,Greensville,11564
2014,Hanover,101724
2014,Rockingham,77878
2014,Wise,39892
2015,Accomack,32914
2015,Fauquier,68423
2015,Greensville,11786
2015,Hanover,103071
2015,Rockingham,78445
2015,Wise,39572
2016,Accomack,32871
2016,Fauquier,68805
2016,Greensville,11500
2016,Hanover,104290
2016,Rockingham,79367
2016,Wise,39027
2017,Accomack,32685
2017,Fauquier,69547
2017,Greensville,11569
2017,Hanover,105674
2017,Rockingham,80397
2017,Wise,38574
2018,Accomack,32581
2018,Fauquier,70642
2018,Greensville,11432
2018,Hanover,106886
2018,Rockingham,81261
2018,Wise,37875
2019,Accomack,32316
2019,Fauquier,71222
2019,Greensville,11336
2019,Hanover,107766
2019,Rockingham,81948
2019,Wise,37383
2020,Accomack,33388
2020,Fauquier,72990
2020,Greensville,11382
2020,Hanover,110195
2020,Rockingham,83765
2020,Wise,36061
2021,Accomack,33364
2021,Fauquier,74022
2021,Greensville,11412
2021,Hanover,111821
2021,Rockingham,84470
2021,Wise,35707
2022,Accomack,33191
2022,Fauquier,74664
2022,Greensville,11226
2022,Hanover,112938
2022,Rockingham,85397
2022,Wise,35421
