Year,County,Income
2008,51001,32179
2009,51001,32962
2010,51001,33744
2011,51001,33794
2012,51001,35201
2013,51001,35412
2014,51001,36346
2015,51001,37523
2016,51001,39924
2017,51001,43521
2018,51001,44919
2019,51001,47778
2020,51001,50924
2021,51001,56453
2022,51001,54153
2008,51901,51291
2009,51901,48390
2010,51901,50560
2011,51901,52721
2012,51901,56794
2013,51901,55255
2014,51901,57768
2015,51901,60654
2016,51901,63663
2017,51901,68785
2018,51901,72455
2019,51901,75666
2020,51901,75998
2021,51901,88287
2022,51901,91201
2008,51021,26728
2009,51021,27456
2010,51021,27534
2011,51021,29452
2012,51021,30267
2013,51021,30210
2014,51021,30660
2015,51021,31718
2016,51021,32483
2017,51021,34806
2018,51021,35784
2019,51021,37048
2020,51021,39111
2021,51021,42162
2022,51021,42629
2008,51023,40245
2009,51023,39129
2010,51023,39446
2011,51023,41410
2012,51023,42514
2013,51023,43119
2014,51023,44608
2015,51023,46072
2016,51023,46817
2017,51023,47636
2018,51023,49439
2019,51023,51185
2020,51023,55106
2021,51023,57273
2022,51023,59504
2008,51025,25885
2009,51025,26591
2010,51025,26463
2011,51025,27148
2012,51025,27679
2013,51025,27839
2014,51025,28700
2015,51025,29705
2016,51025,30679
2017,51025,31318
2018,51025,31763
2019,51025,33384
2020,51025,36672
2021,51025,40267
2022,51025,41082
2008,51027,29484
2009,51027,29343
2010,51027,29887
2011,51027,31898
2012,51027,32189
2013,51027,31360
2014,51027,31821
2015,51027,31263
2016,51027,31024
2017,51027,33426
2018,51027,34995
2019,51027,36995
2020,51027,39621
2021,51027,43165
2022,51027,45289
2008,51029,23536
2009,51029,23037
2010,51029,23803
2011,51029,24591
2012,51029,25259
2013,51029,25306
2014,51029,26407
2015,51029,27347
2016,51029,27681
2017,51029,28846
2018,51029,29687
2019,51029,31165
2020,51029,33515
2021,51029,37026
2022,51029,37877
2008,51911,31649
2009,51911,30615
2010,51911,31797
2011,51911,32906
2012,51911,33750
2013,51911,33246
2014,51911,34502
2015,51911,34821
2016,51911,34820
2017,51911,35653
2018,51911,36966
2019,51911,38030
2020,51911,41668
2021,51911,44800
2022,51911,45413
2008,51033,33571
2009,51033,33559
2010,51033,33736
2011,51033,34697
2012,51033,36099
2013,51033,36734
2014,51033,37550
2015,51033,41742
2016,51033,39573
2017,51033,41119
2018,51033,41746
2019,51033,43254
2020,51033,47241
2021,51033,50548
2022,51033,51500
2008,51913,27533
2009,51913,27891
2010,51913,28109
2011,51913,28925
2012,51913,29446
2013,51913,29149
2014,51913,30961
2015,51913,32215
2016,51913,32802
2017,51913,34012
2018,51913,35198
2019,51913,36447
2020,51913,40288
2021,51913,43267
2022,51913,44770
2008,51036,32740
2009,51036,32456
2010,51036,32971
2011,51036,35067
2012,51036,37094
2013,51036,38378
2014,51036,39903
2015,51036,41430
2016,51036,42807
2017,51036,44727
2018,51036,45569
2019,51036,49430
2020,51036,54205
2021,51036,56703
2022,51036,57151
2008,51037,26720
2009,51037,26569
2010,51037,26986
2011,51037,27983
2012,51037,28700
2013,51037,29575
2014,51037,30215
2015,51037,32181
2016,51037,33383
2017,51037,34320
2018,51037,35083
2019,51037,36348
2020,51037,39367
2021,51037,44074
2022,51037,45263
2008,51550,40880
2009,51550,41418
2010,51550,42229
2011,51550,43473
2012,51550,44038
2013,51550,43669
2014,51550,44784
2015,51550,46279
2016,51550,47367
2017,51550,48156
2018,51550,48251
2019,51550,49481
2020,51550,53172
2021,51550,57176
2022,51550,58478
2008,51041,43642
2009,51041,42142
2010,51041,42441
2011,51041,43897
2012,51041,45556
2013,51041,45605
2014,51041,46476
2015,51041,48561
2016,51041,49466
2017,51041,50912
2018,51041,52114
2019,51041,54302
2020,51041,58219
2021,51041,62033
2022,51041,64035
2008,51043,49201
2009,51043,50518
2010,51043,51440
2011,51043,53254
2012,51043,52885
2013,51043,52961
2014,51043,53747
2015,51043,57061
2016,51043,60494
2017,51043,61770
2018,51043,62873
2019,51043,67248
2020,51043,69063
2021,51043,75346
2022,51043,77961
2008,51045,29233
2009,51045,28797
2010,51045,29576
2011,51045,30739
2012,51045,32750
2013,51045,33493
2014,51045,33939
2015,51045,36022
2016,51045,35221
2017,51045,37399
2018,51045,38954
2019,51045,40189
2020,51045,42970
2021,51045,46315
2022,51045,47392
2008,51047,36398
2009,51047,36070
2010,51047,36871
2011,51047,38951
2012,51047,40359
2013,51047,39776
2014,51047,40439
2015,51047,42096
2016,51047,43699
2017,51047,44835
2018,51047,46475
2019,51047,48800
2020,51047,51440
2021,51047,54266
2022,51047,55962
2008,51049,27438
2009,51049,27033
2010,51049,27742
2011,51049,28860
2012,51049,30638
2013,51049,31236
2014,51049,32821
2015,51049,34306
2016,51049,35113
2017,51049,36722
2018,51049,37274
2019,51049,38323
2020,51049,40805
2021,51049,45265
2022,51049,46446
2008,51051,25791
2009,51051,26953
2010,51051,28396
2011,51051,28628
2012,51051,28066
2013,51051,28212
2014,51051,28611
2015,51051,29133
2016,51051,29011
2017,51051,30056
2018,51051,31573
2019,51051,33603
2020,51051,37129
2021,51051,40480
2022,51051,41038
2008,51057,34125
2009,51057,33364
2010,51057,33170
2011,51057,34493
2012,51057,35621
2013,51057,36062
2014,51057,36845
2015,51057,37782
2016,51057,38784
2017,51057,40898
2018,51057,42076
2019,51057,43721
2020,51057,47869
