Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4,DSCI
2024-03-12,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-03-05,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-27,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-20,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-13,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-06,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-01-30,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-01-23,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-01-16,79.69,20.31,0.00,0.00,0.00,0.00,20
2024-01-09,0.00,100.00,20.31,0.00,0.00,0.00,120
2024-01-02,0.00,100.00,100.00,5.57,0.00,0.00,206
2023-12-26,0.00,100.00,100.00,23.74,0.00,0.00,224
2023-12-19,0.00,100.00,100.00,23.74,0.00,0.00,224
2023-12-12,0.00,100.00,100.00,23.74,0.00,0.00,224
2023-12-05,0.00,100.00,100.00,96.81,0.00,0.00,297
2023-11-28,0.00,100.00,100.00,96.81,0.00,0.00,297
2023-11-21,0.00,100.00,100.00,96.80,10.15,0.00,307
2023-11-14,0.00,100.00,100.00,73.71,9.96,0.00,284
2023-11-07,0.00,100.00,100.00,73.71,7.71,0.00,281
2023-10-31,0.00,100.00,96.98,73.71,0.00,0.00,271
2023-10-24,0.00,100.00,97.34,29.19,0.00,0.00,227
2023-10-17,0.00,100.00,97.34,29.19,0.00,0.00,227
2023-10-10,0.00,100.00,97.34,29.19,0.00,0.00,227
2023-10-03,0.00,100.00,97.34,29.19,0.00,0.00,227
2023-09-26,0.00,100.00,97.34,29.19,0.00,0.00,227
2023-09-19,0.00,100.00,97.98,33.17,0.00,0.00,231
2023-09-12,0.00,100.00,97.98,33.17,0.00,0.00,231
2023-09-05,0.00,100.00,100.00,35.71,0.00,0.00,236
2023-08-29,0.00,100.00,100.00,16.67,0.00,0.00,217
2023-08-22,0.00,100.00,60.44,0.00,0.00,0.00,160
2023-08-15,0.00,100.00,60.44,0.00,0.00,0.00,160
2023-08-08,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-08-01,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-07-25,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-07-18,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-07-11,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-07-04,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-06-27,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-06-20,0.00,100.00,100.00,0.00,0.00,0.00,200
2023-06-13,0.00,100.00,100.00,0.00,0.00,0.00,200
2023-06-06,0.00,100.00,8.34,0.00,0.00,0.00,108
2023-05-30,68.95,31.05,0.00,0.00,0.00,0.00,31
2023-05-23,68.92,31.08,0.00,0.00,0.00,0.00,31
2023-05-16,68.92,31.08,0.00,0.00,0.00,0.00,31
2023-05-09,0.00,100.00,24.72,0.00,0.00,0.00,125
2023-05-02,0.00,100.00,24.72,0.00,0.00,0.00,125
2023-04-25,0.00,100.00,24.72,0.00,0.00,0.00,125
2023-04-18,0.00,100.00,24.72,0.00,0.00,0.00,125
2023-04-11,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-04-04,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-03-28,100.00,0.00,0.00,0.00,0.00,0.00,0
