Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4,DSCI
2024-03-12,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-03-05,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-27,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-20,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-13,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-06,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-01-30,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-01-23,14.88,85.12,0.00,0.00,0.00,0.00,85
2024-01-16,15.68,84.32,0.00,0.00,0.00,0.00,84
2024-01-09,2.71,97.29,37.40,0.00,0.00,0.00,135
2024-01-02,2.71,97.29,48.74,0.00,0.00,0.00,146
2023-12-26,0.00,100.00,55.32,0.00,0.00,0.00,155
2023-12-19,0.00,100.00,55.32,0.00,0.00,0.00,155
2023-12-12,0.00,100.00,54.13,0.00,0.00,0.00,154
2023-12-05,0.00,100.00,66.15,0.00,0.00,0.00,166
2023-11-28,0.00,100.00,66.89,0.00,0.00,0.00,167
2023-11-21,0.00,100.00,67.77,0.00,0.00,0.00,168
2023-11-14,0.00,100.00,51.06,0.00,0.00,0.00,151
2023-11-07,0.00,100.00,50.46,0.00,0.00,0.00,150
2023-10-31,25.39,74.61,46.72,0.00,0.00,0.00,121
2023-10-24,20.73,79.27,0.00,0.00,0.00,0.00,79
2023-10-17,20.73,79.27,0.00,0.00,0.00,0.00,79
2023-10-10,20.73,79.27,0.00,0.00,0.00,0.00,79
2023-10-03,97.69,2.31,0.00,0.00,0.00,0.00,2
2023-09-26,97.69,2.31,0.00,0.00,0.00,0.00,2
2023-09-19,97.69,2.31,0.00,0.00,0.00,0.00,2
2023-09-12,97.69,2.31,0.00,0.00,0.00,0.00,2
2023-09-05,97.69,2.31,0.00,0.00,0.00,0.00,2
2023-08-29,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-08-22,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-08-15,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-08-08,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-08-01,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-07-25,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-07-18,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-07-11,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-07-04,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-06-27,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-06-20,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-06-13,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-06-06,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-05-30,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-05-23,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-05-16,74.48,25.52,0.00,0.00,0.00,0.00,26
2023-05-09,12.04,87.96,0.00,0.00,0.00,0.00,88
2023-05-02,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-04-25,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-04-18,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-04-11,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-04-04,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-03-28,100.00,0.00,0.00,0.00,0.00,0.00,0
