,Year,Coal,Petroleum Products,Natural Gas,Total,Sector
0,1970,0.6035485500000001,6.364959956666666,2.69564284,9.664151346666666,Residential
1,1971,0.48216663,6.269720453333333,2.6920905,9.443977583333332,Residential
2,1972,0.39065004,6.180788643333333,3.01174808,9.583186763333334,Residential
3,1973,0.40419027,5.911407333333333,2.80258418,9.118181783333334,Residential
4,1974,0.4878324,5.149411629999999,2.60847796,8.24572199,Residential
5,1975,0.2179881,5.08187438,2.63583628,7.935698760000001,Residential
6,1976,0.29135502,5.353645036666666,2.83519148,8.480191536666666,Residential
7,1977,0.27291726,5.531896699999999,2.65062886,8.455442819999998,Residential
8,1978,0.11225907,4.874513416666666,2.93195298,7.918725466666666,Residential
9,1979,0.08882775,6.85273523,2.7559796,9.69754258,Residential
10,1980,0.0950697,4.06272317,2.94955562,7.10734849,Residential
11,1981,0.05512122,3.059898086666667,2.76589434,5.880913646666667,Residential
12,1982,0.09833472,2.866006476666667,2.62464906,5.588990256666666,Residential
13,1983,0.09660618000000001,3.126500483333333,2.5831344,5.806241063333333,Residential
14,1984,0.13031271,4.418529646666666,2.8251707,7.374013056666667,Residential
15,1985,0.14231646,4.331501496666666,2.68562206,7.159440016666666,Residential
16,1986,0.13530627,4.451867823333333,2.84049348,7.427667573333333,Residential
17,1987,0.17996022,4.546089826666666,3.05596676,7.782016806666666,Residential
18,1988,0.15480036,4.88642594,3.23072068,8.27194698,Residential
19,1989,0.09785457,4.36940922,3.406216880000001,7.87348067,Residential
20,1990,0.11369952,3.52054637,2.84356864,6.47781453,Residential
21,1991,0.06058737666666666,3.30303919,2.993770266666666,6.357396833333333,Residential
22,1992,0.08405547333333332,3.413469436666666,3.437717616666666,6.935242526666666,Residential
23,1993,0.1338084,3.374493356666667,3.6331955,7.141497256666666,Residential
24,1994,0.1129783966666666,3.3622028,3.59189292,7.067074116666667,Residential
25,1995,0.08872005999999999,3.302905943333334,3.757632303333333,7.149258306666667,Residential
26,1996,0.1135775666666667,3.762051626666666,4.202512453333333,8.078141646666666,Residential
27,1997,0.04737007,3.588894356666667,4.092685153333333,7.72894958,Residential
28,1998,0.04777666666666666,3.537350813333333,3.49451575,7.079643229999999,Residential
29,1999,0.03751799333333333,3.358777986666666,3.80678298,7.20307896,Residential
30,2000,0.02278466666666666,3.85200552,4.375052733333334,8.24984292,Residential
31,2001,0.03392561333333333,3.586605293333333,3.86664256,7.487173466666666,Residential
32,2002,0.02208330666666667,3.121589386666666,4.146749896666667,7.290422589999999,Residential
33,2003,0.03254617666666667,3.587637716666666,4.69295926,8.313143153333334,Residential
34,2004,0.02202376,3.8432735,4.525309213333333,8.390606473333332,Residential
35,2005,0.0229152,3.705411416666667,4.71676524,8.445091856666666,Residential
36,2006,0.005680913333333333,3.045914556666666,3.93535648,6.98695195,Residential
37,2007,0.01957068666666666,2.882565216666667,4.451718260000001,7.353854163333335,Residential
38,2008,0,2.58941859,4.384754,6.97417259,Residential
39,2009,0,2.265014033333333,4.63853214,6.903546173333333,Residential
40,2010,0,2.349897513333333,4.799955893333333,7.149853406666667,Residential
41,2011,0,2.06604134,4.320682373333333,6.386723713333333,Residential
42,2012,0,1.563014676666666,3.86814934,5.431164016666666,Residential
43,2013,0,1.802558413333333,4.71146324,6.514021653333334,Residential
44,2014,0,1.830347126666667,5.161954233333333,6.992301359999999,Residential
45,2015,0,1.768986303333333,4.738513779999999,6.507500083333332,Residential
46,2016,0,1.43786269,4.28856714,5.726429829999999,Residential
47,2017,0,1.30664864,4.29354068,5.60018932,Residential
48,2018,0,1.630590903333333,4.98258761,6.613178513333333,Residential
49,2019,0,1.530059666666666,4.577561559999999,6.107621226666666,Residential
50,2020,0,1.543638213333333,4.218038109999999,5.761676323333332,Residential
51,2021,0,1.666773276666666,4.564281149999999,6.231054426666666,Residential
52,1970,0.47419614,1.184970306666667,1.63683344,3.295999886666667,Commercial
53,1971,0.50185278,1.212435143333333,1.88608046,3.600368383333334,Commercial
54,1972,0.51779376,1.28421403,1.8570255,3.65903329,Commercial
55,1973,0.68824701,1.366819996666667,2.04323174,4.098298746666667,Commercial
56,1974,1.03654782,1.227886843333333,1.91094684,4.175381503333334,Commercial
57,1975,0.5086709100000001,1.213637333333333,1.74764524,3.469953483333333,Commercial
58,1976,0.71340687,1.270874073333333,1.8843308,3.868611743333333,Commercial
59,1977,0.70178724,1.364104866666667,1.87807444,3.943966546666667,Commercial
60,1978,0.37566936,1.206413266666666,2.32736592,3.909448546666666,Commercial
61,1979,0.35511894,1.565859533333333,1.83443898,3.755417453333334,Commercial
62,1980,0.35742366,1.197358726666667,2.06952966,3.624312046666667,Commercial
63,1981,0.25121448,1.106604363333333,1.91211328,3.269932123333334,Commercial
64,1982,0.48015,1.136873356666667,2.0754679,3.692491256666667,Commercial
65,1983,0.50694237,1.808104833333333,2.09937992,4.414427123333333,Commercial
66,1984,0.55562958,2.042111206666667,1.9126965,4.510437286666667,Commercial
67,1985,0.50473368,1.80385348,1.871606,4.18019316,Commercial
68,1986,0.45306954,2.15654175,1.95474136,4.56435265,Commercial
69,1987,0.60258825,2.176932596666667,2.17260054,4.952121386666667,Commercial
70,1988,0.54881145,1.922464793333333,2.31867064,4.789946883333333,Commercial
71,1989,0.36817902,1.704712973333333,2.43860188,4.511493873333333,Commercial
72,1990,0.45479808,1.73073967,2.26861976,4.45415751,Commercial
73,1991,0.2758700266666666,1.501196363333333,2.43463715,4.21170354,Commercial
74,1992,0.38274742,1.469543386666667,2.794923816666667,4.647214623333333,Commercial
75,1993,0.60937976,1.50981622,2.9343919,5.05358788,Commercial
76,1994,0.6403703533333333,1.55075085,2.91774362,5.108864823333333,Commercial
77,1995,0.5938303799999999,1.64490821,3.114267163333333,5.353005753333333,Commercial
