"value","count","year","county","Crop"
1,140068,2008,51001,"Corn"
2,229,2008,51001,"Cotton"
4,120,2008,51001,"Sorghum"
5,128850,2008,51001,"Soybeans"
6,88,2008,51001,"Sunflower"
21,41,2008,51001,"Barley"
24,1747,2008,51001,"Winter_Wheat"
26,112293,2008,51001,"Dbl_Crop_WinWht/Soybeans"
27,271,2008,51001,"Rye"
28,308,2008,51001,"Oats"
36,1321,2008,51001,"Alfalfa"
37,4,2008,51001,"Other_Hay/Non_Alfalfa"
42,2335,2008,51001,"Dry_Beans"
43,913,2008,51001,"Potatoes"
44,82,2008,51001,"Other_Crops"
47,183,2008,51001,"Misc_Vegs_&_Fruits"
54,6352,2008,51001,"Tomatoes"
58,106,2008,51001,"Clover/Wildflowers"
59,10,2008,51001,"Sod/Grass_Seed"
61,8844,2008,51001,"Fallow/Idle_Cropland"
69,4,2008,51001,"Grapes"
111,58666,2008,51001,"Open_Water"
121,52620,2008,51001,"Developed/Open_Space"
122,16638,2008,51001,"Developed/Low_Intensity"
123,4696,2008,51001,"Developed/Med_Intensity"
124,1593,2008,51001,"Developed/High_Intensity"
131,6052,2008,51001,"Barren"
141,6063,2008,51001,"Deciduous_Forest"
142,29401,2008,51001,"Evergreen_Forest"
143,3706,2008,51001,"Mixed_Forest"
152,11073,2008,51001,"Shrubland"
176,6067,2008,51001,"Grassland/Pasture"
190,390721,2008,51001,"Woody_Wetlands"
195,218741,2008,51001,"Herbaceous_Wetlands"
225,2782,2008,51001,"Dbl_Crop_WinWht/Corn"
249,3,2008,51001,"Gourds"
254,72,2008,51001,"Dbl_Crop_Barley/Soybeans"
1,7822,2008,51003,"Corn"
4,3,2008,51003,"Sorghum"
5,7713,2008,51003,"Soybeans"
11,11,2008,51003,"Tobacco"
21,38,2008,51003,"Barley"
24,604,2008,51003,"Winter_Wheat"
25,13,2008,51003,"Other_Small_Grains"
26,302,2008,51003,"Dbl_Crop_WinWht/Soybeans"
27,168,2008,51003,"Rye"
28,57,2008,51003,"Oats"
29,212,2008,51003,"Millet"
36,112,2008,51003,"Alfalfa"
37,195546,2008,51003,"Other_Hay/Non_Alfalfa"
59,25,2008,51003,"Sod/Grass_Seed"
61,607,2008,51003,"Fallow/Idle_Cropland"
67,102,2008,51003,"Peaches"
68,152,2008,51003,"Apples"
69,3,2008,51003,"Grapes"
111,9575,2008,51003,"Open_Water"
121,142414,2008,51003,"Developed/Open_Space"
122,39536,2008,51003,"Developed/Low_Intensity"
123,9061,2008,51003,"Developed/Med_Intensity"
124,3420,2008,51003,"Developed/High_Intensity"
131,95,2008,51003,"Barren"
141,1241871,2008,51003,"Deciduous_Forest"
142,139498,2008,51003,"Evergreen_Forest"
143,28748,2008,51003,"Mixed_Forest"
152,2441,2008,51003,"Shrubland"
176,259309,2008,51003,"Grassland/Pasture"
190,330,2008,51003,"Woody_Wetlands"
205,14,2008,51003,"Triticale"
209,1,2008,51003,"Cantaloupes"
221,2,2008,51003,"Strawberries"
225,15,2008,51003,"Dbl_Crop_WinWht/Corn"
229,9,2008,51003,"Pumpkins"
237,17,2008,51003,"Dbl_Crop_Barley/Corn"
254,56,2008,51003,"Dbl_Crop_Barley/Soybeans"
1,2042,2008,51005,"Corn"
5,92,2008,51005,"Soybeans"
11,7,2008,51005,"Tobacco"
21,2,2008,51005,"Barley"
24,35,2008,51005,"Winter_Wheat"
26,7,2008,51005,"Dbl_Crop_WinWht/Soybeans"
29,1,2008,51005,"Millet"
36,393,2008,51005,"Alfalfa"
37,13101,2008,51005,"Other_Hay/Non_Alfalfa"
61,165,2008,51005,"Fallow/Idle_Cropland"
68,4,2008,51005,"Apples"
111,3740,2008,51005,"Open_Water"
121,48538,2008,51005,"Developed/Open_Space"
122,19063,2008,51005,"Developed/Low_Intensity"
123,4653,2008,51005,"Developed/Med_Intensity"
124,1074,2008,51005,"Developed/High_Intensity"
131,123,2008,51005,"Barren"
141,1132871,2008,51005,"Deciduous_Forest"
142,30231,2008,51005,"Evergreen_Forest"
143,926,2008,51005,"Mixed_Forest"
152,9,2008,51005,"Shrubland"
176,34397,2008,51005,"Grassland/Pasture"
190,1,2008,51005,"Woody_Wetlands"
237,11,2008,51005,"Dbl_Crop_Barley/Corn"
1,22657,2008,51007,"Corn"
2,16,2008,51007,"Cotton"
4,110,2008,51007,"Sorghum"
5,17808,2008,51007,"Soybeans"
10,3,2008,51007,"Peanuts"
11,47,2008,51007,"Tobacco"
12,1,2008,51007,"Sweet_Corn"
21,101,2008,51007,"Barley"
24,2328,2008,51007,"Winter_Wheat"
25,1,2008,51007,"Other_Small_Grains"
26,8733,2008,51007,"Dbl_Crop_WinWht/Soybeans"
27,74,2008,51007,"Rye"
28,60,2008,51007,"Oats"
29,6,2008,51007,"Millet"
36,172,2008,51007,"Alfalfa"
37,92911,2008,51007,"Other_Hay/Non_Alfalfa"
59,5,2008,51007,"Sod/Grass_Seed"
61,654,2008,51007,"Fallow/Idle_Cropland"
111,5590,2008,51007,"Open_Water"
121,23919,2008,51007,"Developed/Open_Space"
122,3303,2008,51007,"Developed/Low_Intensity"
123,701,2008,51007,"Developed/Med_Intensity"
124,179,2008,51007,"Developed/High_Intensity"
131,528,2008,51007,"Barren"
141,487468,2008,51007,"Deciduous_Forest"
142,197988,2008,51007,"Evergreen_Forest"
143,8393,2008,51007,"Mixed_Forest"
152,28275,2008,51007,"Shrubland"
176,104692,2008,51007,"Grassland/Pasture"
190,24596,2008,51007,"Woody_Wetlands"
195,93,2008,51007,"Herbaceous_Wetlands"
205,141,2008,51007,"Triticale"
221,20,2008,51007,"Strawberries"
225,61,2008,51007,"Dbl_Crop_WinWht/Corn"
226,3,2008,51007,"Dbl_Crop_Oats/Corn"
236,3,2008,51007,"Dbl_Crop_WinWht/Sorghum"
237,103,2008,51007,"Dbl_Crop_Barley/Corn"
240,37,2008,51007,"Dbl_Crop_Soybeans/Oats"
254,927,2008,51007,"Dbl_Crop_Barley/Soybeans"
1,2112,2008,51009,"Corn"
5,116,2008,51009,"Soybeans"
21,11,2008,51009,"Barley"
24,246,2008,51009,"Winter_Wheat"
25,2,2008,51009,"Other_Small_Grains"
26,253,2008,51009,"Dbl_Crop_WinWht/Soybeans"
27,5,2008,51009,"Rye"
28,15,2008,51009,"Oats"
29,4,2008,51009,"Millet"
36,26,2008,51009,"Alfalfa"
37,109615,2008,51009,"Other_Hay/Non_Alfalfa"
44,1,2008,51009,"Other_Crops"
59,2,2008,51009,"Sod/Grass_Seed"
61,244,2008,51009,"Fallow/Idle_Cropland"
67,101,2008,51009,"Peaches"
68,449,2008,51009,"Apples"
111,9350,2008,51009,"Open_Water"
