Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4,DSCI
2024-03-12,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-03-05,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-27,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-20,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-13,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-06,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-01-30,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-01-23,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-01-16,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-01-09,26.30,73.70,0.00,0.00,0.00,0.00,74
2024-01-02,0.00,100.00,72.91,0.00,0.00,0.00,173
2023-12-26,0.00,100.00,72.91,0.00,0.00,0.00,173
2023-12-19,0.00,100.00,72.91,0.00,0.00,0.00,173
2023-12-12,0.00,100.00,100.00,74.48,0.00,0.00,274
2023-12-05,0.00,100.00,100.00,74.48,0.00,0.00,274
2023-11-28,0.00,100.00,100.00,74.48,0.00,0.00,274
2023-11-21,0.00,100.00,100.00,74.48,0.00,0.00,274
2023-11-14,0.00,100.00,100.00,0.00,0.00,0.00,200
2023-11-07,0.00,100.00,94.72,0.00,0.00,0.00,195
2023-10-31,0.00,100.00,94.72,0.00,0.00,0.00,195
2023-10-24,0.00,100.00,94.72,0.00,0.00,0.00,195
2023-10-17,0.00,100.00,94.72,0.00,0.00,0.00,195
2023-10-10,0.00,100.00,64.10,0.00,0.00,0.00,164
2023-10-03,0.00,100.00,64.10,0.00,0.00,0.00,164
2023-09-26,0.00,100.00,64.10,0.00,0.00,0.00,164
2023-09-19,0.00,100.00,64.10,0.00,0.00,0.00,164
2023-09-12,44.53,55.47,0.00,0.00,0.00,0.00,55
2023-09-05,44.53,55.47,0.00,0.00,0.00,0.00,55
2023-08-29,47.48,52.52,0.00,0.00,0.00,0.00,53
2023-08-22,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-08-15,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-08-08,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-08-01,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-07-25,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-07-18,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-07-11,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-07-04,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-06-27,5.76,94.24,0.00,0.00,0.00,0.00,94
2023-06-20,5.76,94.24,28.88,0.00,0.00,0.00,123
2023-06-13,42.02,57.98,0.83,0.00,0.00,0.00,59
2023-06-06,42.02,57.98,0.83,0.00,0.00,0.00,59
2023-05-30,42.02,57.98,0.83,0.00,0.00,0.00,59
2023-05-23,3.00,97.00,0.83,0.00,0.00,0.00,98
2023-05-16,1.28,98.72,95.76,0.00,0.00,0.00,194
2023-05-09,1.28,98.72,95.76,0.00,0.00,0.00,194
2023-05-02,3.55,96.45,94.16,0.00,0.00,0.00,191
2023-04-25,0.00,100.00,96.41,0.00,0.00,0.00,196
2023-04-18,0.00,100.00,100.00,0.00,0.00,0.00,200
2023-04-11,0.00,100.00,100.00,0.00,0.00,0.00,200
2023-04-04,0.00,100.00,100.00,0.00,0.00,0.00,200
2023-03-28,0.00,100.00,100.00,0.00,0.00,0.00,200
