Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4,DSCI
2024-03-05,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-27,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-20,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-13,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-06,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-01-30,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-01-23,67.55,32.45,0.00,0.00,0.00,0.00,32
2024-01-16,66.80,33.20,0.00,0.00,0.00,0.00,33
2024-01-09,0.00,100.00,33.20,0.00,0.00,0.00,133
2024-01-02,0.00,100.00,83.98,0.00,0.00,0.00,184
2023-12-26,0.00,100.00,85.01,0.00,0.00,0.00,185
2023-12-19,0.00,100.00,85.01,0.00,0.00,0.00,185
2023-12-12,0.00,100.00,85.43,10.29,0.00,0.00,196
2023-12-05,0.00,100.00,100.00,83.11,0.00,0.00,283
2023-11-28,0.00,100.00,100.00,83.11,0.00,0.00,283
2023-11-21,0.00,100.00,100.00,82.36,0.00,0.00,282
2023-11-14,0.00,100.00,100.00,17.96,0.00,0.00,218
2023-11-07,0.00,100.00,98.88,16.94,0.00,0.00,216
2023-10-31,0.00,100.00,48.93,0.00,0.00,0.00,149
2023-10-24,26.26,73.74,38.46,0.00,0.00,0.00,112
2023-10-17,26.26,73.74,38.46,0.00,0.00,0.00,112
2023-10-10,26.26,73.74,11.30,0.00,0.00,0.00,85
2023-10-03,26.26,73.74,11.30,0.00,0.00,0.00,85
2023-09-26,26.26,73.74,11.30,0.00,0.00,0.00,85
2023-09-19,26.26,73.74,11.30,0.00,0.00,0.00,85
2023-09-12,26.26,73.74,0.00,0.00,0.00,0.00,74
2023-09-05,26.26,73.74,0.00,0.00,0.00,0.00,74
2023-08-29,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-08-22,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-08-15,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-08-08,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-08-01,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-07-25,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-07-18,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-07-11,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-07-04,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-06-27,42.48,57.52,0.00,0.00,0.00,0.00,58
2023-06-20,1.05,98.95,0.00,0.00,0.00,0.00,99
2023-06-13,1.05,98.95,0.00,0.00,0.00,0.00,99
2023-06-06,2.27,97.73,0.00,0.00,0.00,0.00,98
2023-05-30,2.35,97.65,0.00,0.00,0.00,0.00,98
2023-05-23,2.36,97.64,0.00,0.00,0.00,0.00,98
2023-05-16,2.36,97.64,0.00,0.00,0.00,0.00,98
2023-05-09,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-05-02,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-04-25,0.00,100.00,90.96,0.00,0.00,0.00,191
2023-04-18,0.00,100.00,90.96,0.00,0.00,0.00,191
2023-04-11,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-04-04,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-03-28,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-03-21,60.04,39.96,0.00,0.00,0.00,0.00,40
2023-03-14,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-03-07,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-02-28,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-02-21,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-02-14,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-02-07,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-01-31,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-01-24,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-01-17,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-01-10,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-01-03,100.00,0.00,0.00,0.00,0.00,0.00,0
2022-12-27,100.00,0.00,0.00,0.00,0.00,0.00,0
2022-12-20,67.25,32.75,0.00,0.00,0.00,0.00,33
2022-12-13,0.00,100.00,0.00,0.00,0.00,0.00,100
2022-12-06,0.00,100.00,0.00,0.00,0.00,0.00,100
2022-11-29,0.00,100.00,0.00,0.00,0.00,0.00,100
2022-11-22,0.00,100.00,0.00,0.00,0.00,0.00,100
2022-11-15,0.00,100.00,0.00,0.00,0.00,0.00,100
2022-11-08,0.00,100.00,36.35,0.00,0.00,0.00,136
2022-11-01,0.00,100.00,36.35,0.00,0.00,0.00,136
2022-10-25,0.00,100.00,0.00,0.00,0.00,0.00,100
2022-10-18,33.99,66.01,0.00,0.00,0.00,0.00,66
2022-10-11,33.99,66.01,0.00,0.00,0.00,0.00,66
2022-10-04,33.99,66.01,0.00,0.00,0.00,0.00,66
2022-09-27,0.00,100.00,0.00,0.00,0.00,0.00,100
2022-09-20,7.03,92.97,0.00,0.00,0.00,0.00,93
2022-09-13,7.03,92.97,0.00,0.00,0.00,0.00,93
2022-09-06,0.07,99.93,0.00,0.00,0.00,0.00,100
2022-08-30,100.00,0.00,0.00,0.00,0.00,0.00,0
2022-08-23,100.00,0.00,0.00,0.00,0.00,0.00,0
