Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4,DSCI
2024-03-05,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-27,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-20,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-13,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-06,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-01-30,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-01-23,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-01-16,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-01-09,0.00,100.00,0.00,0.00,0.00,0.00,100
2024-01-02,0.00,100.00,19.72,0.00,0.00,0.00,120
2023-12-26,0.00,100.00,100.00,0.00,0.00,0.00,200
2023-12-19,0.00,100.00,100.00,0.00,0.00,0.00,200
2023-12-12,0.00,100.00,100.00,0.00,0.00,0.00,200
2023-12-05,0.00,100.00,100.00,99.52,0.00,0.00,300
2023-11-28,0.00,100.00,100.00,99.52,0.00,0.00,300
2023-11-21,0.00,100.00,100.00,99.60,0.00,0.00,300
2023-11-14,0.00,100.00,100.00,79.68,0.00,0.00,280
2023-11-07,0.00,100.00,100.00,79.68,0.00,0.00,280
2023-10-31,0.00,100.00,96.61,0.00,0.00,0.00,197
2023-10-24,0.00,100.00,96.98,0.00,0.00,0.00,197
2023-10-17,0.00,100.00,96.98,0.00,0.00,0.00,197
2023-10-10,0.00,100.00,96.98,0.00,0.00,0.00,197
2023-10-03,0.00,100.00,96.98,0.00,0.00,0.00,197
2023-09-26,0.00,100.00,96.98,0.00,0.00,0.00,197
2023-09-19,0.00,100.00,96.98,0.00,0.00,0.00,197
2023-09-12,0.30,99.70,8.64,0.00,0.00,0.00,108
2023-09-05,0.30,99.70,0.00,0.00,0.00,0.00,100
2023-08-29,0.30,99.70,0.00,0.00,0.00,0.00,100
2023-08-22,8.62,91.38,0.00,0.00,0.00,0.00,91
2023-08-15,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-08-08,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-08-01,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-07-25,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-07-18,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-07-11,74.63,25.37,0.00,0.00,0.00,0.00,25
2023-07-04,73.76,26.24,0.00,0.00,0.00,0.00,26
2023-06-27,74.05,25.95,0.00,0.00,0.00,0.00,26
2023-06-20,0.00,100.00,25.59,0.00,0.00,0.00,126
2023-06-13,0.00,100.00,25.59,0.00,0.00,0.00,126
2023-06-06,76.13,23.87,0.00,0.00,0.00,0.00,24
2023-05-30,71.54,28.46,0.00,0.00,0.00,0.00,28
2023-05-23,71.87,28.13,0.00,0.00,0.00,0.00,28
2023-05-16,70.91,29.09,0.00,0.00,0.00,0.00,29
2023-05-09,70.91,29.09,0.00,0.00,0.00,0.00,29
2023-05-02,70.91,29.09,0.00,0.00,0.00,0.00,29
2023-04-25,67.11,32.89,0.00,0.00,0.00,0.00,33
2023-04-18,67.11,32.89,0.00,0.00,0.00,0.00,33
2023-04-11,67.11,32.89,0.00,0.00,0.00,0.00,33
2023-04-04,67.11,32.89,0.00,0.00,0.00,0.00,33
2023-03-28,77.19,22.81,0.00,0.00,0.00,0.00,23
2023-03-21,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-03-14,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-03-07,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-02-28,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-02-21,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-02-14,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-02-07,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-01-31,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-01-24,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-01-17,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-01-10,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-01-03,100.00,0.00,0.00,0.00,0.00,0.00,0
2022-12-27,100.00,0.00,0.00,0.00,0.00,0.00,0
2022-12-20,100.00,0.00,0.00,0.00,0.00,0.00,0
2022-12-13,100.00,0.00,0.00,0.00,0.00,0.00,0
2022-12-06,100.00,0.00,0.00,0.00,0.00,0.00,0
2022-11-29,100.00,0.00,0.00,0.00,0.00,0.00,0
2022-11-22,100.00,0.00,0.00,0.00,0.00,0.00,0
2022-11-15,100.00,0.00,0.00,0.00,0.00,0.00,0
2022-11-08,100.00,0.00,0.00,0.00,0.00,0.00,0
2022-11-01,100.00,0.00,0.00,0.00,0.00,0.00,0
2022-10-25,100.00,0.00,0.00,0.00,0.00,0.00,0
2022-10-18,100.00,0.00,0.00,0.00,0.00,0.00,0
2022-10-11,100.00,0.00,0.00,0.00,0.00,0.00,0
2022-10-04,100.00,0.00,0.00,0.00,0.00,0.00,0
2022-09-27,100.00,0.00,0.00,0.00,0.00,0.00,0
2022-09-20,100.00,0.00,0.00,0.00,0.00,0.00,0
2022-09-13,100.00,0.00,0.00,0.00,0.00,0.00,0
2022-09-06,100.00,0.00,0.00,0.00,0.00,0.00,0
2022-08-30,100.00,0.00,0.00,0.00,0.00,0.00,0
2022-08-23,100.00,0.00,0.00,0.00,0.00,0.00,0
