Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4,DSCI
2024-03-05,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-27,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-20,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-13,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-06,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-01-30,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-01-23,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-01-16,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-01-09,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-01-02,61.12,38.88,0.00,0.00,0.00,0.00,39
2023-12-26,46.50,53.50,0.90,0.00,0.00,0.00,54
2023-12-19,45.90,54.10,0.90,0.00,0.00,0.00,55
2023-12-12,9.97,90.03,46.07,0.00,0.00,0.00,136
2023-12-05,0.00,100.00,47.40,0.00,0.00,0.00,147
2023-11-28,0.00,100.00,46.43,0.00,0.00,0.00,146
2023-11-21,0.00,100.00,45.26,0.00,0.00,0.00,145
2023-11-14,0.00,100.00,16.95,0.00,0.00,0.00,117
2023-11-07,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-10-31,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-10-24,80.59,19.41,0.00,0.00,0.00,0.00,19
2023-10-17,80.59,19.41,0.00,0.00,0.00,0.00,19
2023-10-10,80.59,19.41,0.00,0.00,0.00,0.00,19
2023-10-03,95.97,4.03,0.00,0.00,0.00,0.00,4
2023-09-26,95.97,4.03,0.00,0.00,0.00,0.00,4
2023-09-19,95.97,4.03,0.00,0.00,0.00,0.00,4
2023-09-12,95.97,4.03,0.00,0.00,0.00,0.00,4
2023-09-05,95.97,4.03,0.00,0.00,0.00,0.00,4
2023-08-29,75.88,24.12,0.00,0.00,0.00,0.00,24
2023-08-22,90.41,9.59,0.00,0.00,0.00,0.00,10
2023-08-15,96.83,3.17,0.00,0.00,0.00,0.00,3
2023-08-08,96.83,3.17,0.00,0.00,0.00,0.00,3
2023-08-01,96.83,3.17,0.00,0.00,0.00,0.00,3
2023-07-25,96.83,3.17,0.00,0.00,0.00,0.00,3
2023-07-18,96.83,3.17,0.00,0.00,0.00,0.00,3
2023-07-11,95.79,4.21,0.00,0.00,0.00,0.00,4
2023-07-04,87.45,12.55,0.00,0.00,0.00,0.00,13
2023-06-27,87.45,12.55,0.00,0.00,0.00,0.00,13
2023-06-20,64.98,35.02,0.00,0.00,0.00,0.00,35
2023-06-13,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-06-06,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-05-30,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-05-23,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-05-16,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-05-09,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-05-02,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-04-25,99.68,0.32,0.00,0.00,0.00,0.00,0
2023-04-18,99.68,0.32,0.00,0.00,0.00,0.00,0
2023-04-11,98.52,1.48,0.00,0.00,0.00,0.00,1
2023-04-04,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-03-28,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-03-21,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-03-14,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-03-07,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-02-28,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-02-21,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-02-14,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-02-07,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-01-31,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-01-24,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-01-17,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-01-10,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-01-03,97.95,2.05,0.00,0.00,0.00,0.00,2
2022-12-27,97.95,2.05,0.00,0.00,0.00,0.00,2
2022-12-20,97.95,2.05,0.00,0.00,0.00,0.00,2
2022-12-13,97.95,2.05,0.00,0.00,0.00,0.00,2
2022-12-06,97.95,2.05,0.00,0.00,0.00,0.00,2
2022-11-29,0.00,100.00,0.00,0.00,0.00,0.00,100
2022-11-22,0.00,100.00,0.00,0.00,0.00,0.00,100
2022-11-15,0.00,100.00,0.00,0.00,0.00,0.00,100
2022-11-08,0.00,100.00,0.00,0.00,0.00,0.00,100
2022-11-01,0.00,100.00,0.00,0.00,0.00,0.00,100
2022-10-25,16.40,83.60,0.00,0.00,0.00,0.00,84
2022-10-18,100.00,0.00,0.00,0.00,0.00,0.00,0
2022-10-11,100.00,0.00,0.00,0.00,0.00,0.00,0
2022-10-04,100.00,0.00,0.00,0.00,0.00,0.00,0
2022-09-27,0.00,100.00,17.28,0.00,0.00,0.00,117
2022-09-20,0.00,100.00,14.61,0.00,0.00,0.00,115
2022-09-13,0.00,100.00,0.00,0.00,0.00,0.00,100
2022-09-06,0.00,100.00,0.00,0.00,0.00,0.00,100
2022-08-30,22.33,77.67,0.00,0.00,0.00,0.00,78
2022-08-23,22.33,77.67,0.00,0.00,0.00,0.00,78
