Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4,DSCI
2024-03-05,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-27,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-20,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-13,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-06,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-01-30,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-01-23,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-01-16,59.33,40.67,0.00,0.00,0.00,0.00,41
2024-01-09,0.00,100.00,40.67,0.00,0.00,0.00,141
2024-01-02,0.00,100.00,99.99,0.00,0.00,0.00,200
2023-12-26,0.00,100.00,100.00,0.00,0.00,0.00,200
2023-12-19,0.00,100.00,100.00,0.00,0.00,0.00,200
2023-12-12,0.00,100.00,100.00,60.49,0.00,0.00,260
2023-12-05,0.00,100.00,100.00,65.90,0.00,0.00,266
2023-11-28,0.00,100.00,100.00,65.90,0.00,0.00,266
2023-11-21,0.00,100.00,100.00,64.65,0.00,0.00,265
2023-11-14,0.00,100.00,100.00,0.00,0.00,0.00,200
2023-11-07,0.00,100.00,33.51,0.00,0.00,0.00,134
2023-10-31,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-10-24,39.17,60.83,0.00,0.00,0.00,0.00,61
2023-10-17,39.17,60.83,0.00,0.00,0.00,0.00,61
2023-10-10,39.17,60.83,0.00,0.00,0.00,0.00,61
2023-10-03,45.85,54.15,0.00,0.00,0.00,0.00,54
2023-09-26,45.85,54.15,0.00,0.00,0.00,0.00,54
2023-09-19,45.85,54.15,0.00,0.00,0.00,0.00,54
2023-09-12,45.85,54.15,0.00,0.00,0.00,0.00,54
2023-09-05,39.17,60.83,0.00,0.00,0.00,0.00,61
2023-08-29,98.72,1.28,0.00,0.00,0.00,0.00,1
2023-08-22,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-08-15,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-08-08,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-08-01,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-07-25,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-07-18,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-07-11,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-07-04,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-06-27,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-06-20,3.17,96.83,0.00,0.00,0.00,0.00,97
2023-06-13,10.62,89.38,0.00,0.00,0.00,0.00,89
2023-06-06,14.06,85.94,0.00,0.00,0.00,0.00,86
2023-05-30,14.66,85.34,0.00,0.00,0.00,0.00,85
2023-05-23,14.92,85.08,0.00,0.00,0.00,0.00,85
2023-05-16,12.13,87.87,0.00,0.00,0.00,0.00,88
2023-05-09,12.13,87.87,0.00,0.00,0.00,0.00,88
2023-05-02,12.13,87.87,0.00,0.00,0.00,0.00,88
2023-04-25,0.00,100.00,3.38,0.00,0.00,0.00,103
2023-04-18,0.00,100.00,3.38,0.00,0.00,0.00,103
2023-04-11,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-04-04,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-03-28,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-03-21,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-03-14,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-03-07,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-02-28,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-02-21,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-02-14,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-02-07,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-01-31,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-01-24,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-01-17,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-01-10,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-01-03,100.00,0.00,0.00,0.00,0.00,0.00,0
2022-12-27,100.00,0.00,0.00,0.00,0.00,0.00,0
2022-12-20,12.88,87.12,0.00,0.00,0.00,0.00,87
2022-12-13,0.00,100.00,0.00,0.00,0.00,0.00,100
2022-12-06,0.00,100.00,0.00,0.00,0.00,0.00,100
2022-11-29,0.00,100.00,0.00,0.00,0.00,0.00,100
2022-11-22,0.00,100.00,0.00,0.00,0.00,0.00,100
2022-11-15,0.00,100.00,0.00,0.00,0.00,0.00,100
2022-11-08,0.00,100.00,0.00,0.00,0.00,0.00,100
2022-11-01,0.00,100.00,0.00,0.00,0.00,0.00,100
2022-10-25,7.81,92.19,0.00,0.00,0.00,0.00,92
2022-10-18,34.22,65.78,0.00,0.00,0.00,0.00,66
2022-10-11,34.22,65.78,0.00,0.00,0.00,0.00,66
2022-10-04,34.22,65.78,0.00,0.00,0.00,0.00,66
2022-09-27,0.00,100.00,0.00,0.00,0.00,0.00,100
2022-09-20,100.00,0.00,0.00,0.00,0.00,0.00,0
2022-09-13,100.00,0.00,0.00,0.00,0.00,0.00,0
2022-09-06,72.11,27.89,0.00,0.00,0.00,0.00,28
2022-08-30,100.00,0.00,0.00,0.00,0.00,0.00,0
2022-08-23,100.00,0.00,0.00,0.00,0.00,0.00,0
