Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4,DSCI
2024-03-05,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-27,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-20,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-13,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-06,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-01-30,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-01-23,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-01-16,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-01-09,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-01-02,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-12-26,14.59,85.41,0.00,0.00,0.00,0.00,85
2023-12-19,14.59,85.41,0.00,0.00,0.00,0.00,85
2023-12-12,14.47,85.53,39.03,0.00,0.00,0.00,125
2023-12-05,0.00,100.00,39.03,0.00,0.00,0.00,139
2023-11-28,0.00,100.00,40.33,0.00,0.00,0.00,140
2023-11-21,0.00,100.00,41.93,0.00,0.00,0.00,142
2023-11-14,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-11-07,27.54,72.46,0.00,0.00,0.00,0.00,72
2023-10-31,28.60,71.40,0.00,0.00,0.00,0.00,71
2023-10-24,81.20,18.80,0.00,0.00,0.00,0.00,19
2023-10-17,81.20,18.80,0.00,0.00,0.00,0.00,19
2023-10-10,81.20,18.80,0.00,0.00,0.00,0.00,19
2023-10-03,81.20,18.80,0.00,0.00,0.00,0.00,19
2023-09-26,81.20,18.80,0.00,0.00,0.00,0.00,19
2023-09-19,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-09-12,35.03,64.97,0.00,0.00,0.00,0.00,65
2023-09-05,9.00,91.00,0.00,0.00,0.00,0.00,91
2023-08-29,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-08-22,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-08-15,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-08-08,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-08-01,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-07-25,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-07-18,53.75,46.25,0.00,0.00,0.00,0.00,46
2023-07-11,48.30,51.70,1.14,0.00,0.00,0.00,53
2023-07-04,21.58,78.42,1.14,0.00,0.00,0.00,80
2023-06-27,18.54,81.46,48.05,0.00,0.00,0.00,130
2023-06-20,0.00,100.00,48.05,0.00,0.00,0.00,148
2023-06-13,24.89,75.11,0.07,0.00,0.00,0.00,75
2023-06-06,24.89,75.11,0.19,0.00,0.00,0.00,75
2023-05-30,90.37,9.63,0.00,0.00,0.00,0.00,10
2023-05-23,90.12,9.88,0.00,0.00,0.00,0.00,10
2023-05-16,78.66,21.34,0.00,0.00,0.00,0.00,21
2023-05-09,44.47,55.53,0.00,0.00,0.00,0.00,56
2023-05-02,44.47,55.53,0.00,0.00,0.00,0.00,56
2023-04-25,0.00,100.00,98.47,0.00,0.00,0.00,198
2023-04-18,0.00,100.00,98.47,0.00,0.00,0.00,198
2023-04-11,0.00,100.00,98.47,0.00,0.00,0.00,198
2023-04-04,0.00,100.00,100.00,0.00,0.00,0.00,200
2023-03-28,0.00,100.00,100.00,0.00,0.00,0.00,200
2023-03-21,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-03-14,16.00,84.00,0.00,0.00,0.00,0.00,84
2023-03-07,16.00,84.00,0.00,0.00,0.00,0.00,84
2023-02-28,16.00,84.00,0.00,0.00,0.00,0.00,84
2023-02-21,16.00,84.00,0.00,0.00,0.00,0.00,84
2023-02-14,16.00,84.00,0.00,0.00,0.00,0.00,84
2023-02-07,16.00,84.00,0.00,0.00,0.00,0.00,84
2023-01-31,16.00,84.00,0.00,0.00,0.00,0.00,84
2023-01-24,16.00,84.00,0.00,0.00,0.00,0.00,84
2023-01-17,16.00,84.00,0.00,0.00,0.00,0.00,84
2023-01-10,20.42,79.58,0.00,0.00,0.00,0.00,80
2023-01-03,20.42,79.58,0.00,0.00,0.00,0.00,80
2022-12-27,20.42,79.58,0.00,0.00,0.00,0.00,80
2022-12-20,20.42,79.58,0.00,0.00,0.00,0.00,80
2022-12-13,0.00,100.00,0.00,0.00,0.00,0.00,100
2022-12-06,0.00,100.00,0.00,0.00,0.00,0.00,100
2022-11-29,0.00,100.00,0.00,0.00,0.00,0.00,100
2022-11-22,0.00,100.00,0.00,0.00,0.00,0.00,100
2022-11-15,0.00,100.00,0.00,0.00,0.00,0.00,100
2022-11-08,0.00,100.00,0.00,0.00,0.00,0.00,100
2022-11-01,0.00,100.00,0.00,0.00,0.00,0.00,100
2022-10-25,0.00,100.00,0.00,0.00,0.00,0.00,100
2022-10-18,0.00,100.00,0.00,0.00,0.00,0.00,100
2022-10-11,0.00,100.00,0.00,0.00,0.00,0.00,100
2022-10-04,0.00,100.00,0.00,0.00,0.00,0.00,100
2022-09-27,0.00,100.00,66.42,0.00,0.00,0.00,166
2022-09-20,0.00,100.00,0.00,0.00,0.00,0.00,100
2022-09-13,0.17,99.83,0.00,0.00,0.00,0.00,100
2022-09-06,0.17,99.83,0.00,0.00,0.00,0.00,100
2022-08-30,99.58,0.42,0.00,0.00,0.00,0.00,0
2022-08-23,100.00,0.00,0.00,0.00,0.00,0.00,0
