Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4,DSCI
2024-03-12,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-03-05,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-27,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-20,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-13,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-06,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-01-30,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-01-23,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-01-16,75.51,24.49,0.00,0.00,0.00,0.00,24
2024-01-09,17.59,82.41,24.49,0.00,0.00,0.00,107
2024-01-02,0.85,99.15,24.49,0.00,0.00,0.00,124
2023-12-26,0.00,100.00,54.12,0.00,0.00,0.00,154
2023-12-19,0.00,100.00,54.12,0.00,0.00,0.00,154
2023-12-12,0.00,100.00,85.68,0.00,0.00,0.00,186
2023-12-05,0.00,100.00,85.68,31.27,0.00,0.00,217
2023-11-28,0.00,100.00,85.02,31.27,0.00,0.00,216
2023-11-21,0.00,100.00,84.21,30.99,0.00,0.00,215
2023-11-14,0.00,100.00,54.09,28.59,0.00,0.00,183
2023-11-07,0.00,100.00,52.23,28.59,0.00,0.00,181
2023-10-31,0.00,100.00,52.17,28.59,0.00,0.00,181
2023-10-24,41.81,58.19,42.28,28.59,0.00,0.00,129
2023-10-17,41.81,58.19,42.28,28.59,0.00,0.00,129
2023-10-10,41.81,58.19,42.28,28.59,0.00,0.00,129
2023-10-03,41.81,58.19,42.28,28.59,0.00,0.00,129
2023-09-26,41.81,58.19,42.28,28.59,0.00,0.00,129
2023-09-19,0.00,100.00,45.67,30.10,0.00,0.00,176
2023-09-12,1.07,98.93,45.67,30.10,0.00,0.00,175
2023-09-05,6.81,93.19,54.32,30.10,0.00,0.00,178
2023-08-29,44.85,55.15,43.32,22.35,0.00,0.00,121
2023-08-22,44.80,55.20,40.65,0.00,0.00,0.00,96
2023-08-15,44.80,55.20,40.65,0.00,0.00,0.00,96
2023-08-08,44.81,55.19,40.59,0.00,0.00,0.00,96
2023-08-01,4.09,95.91,53.94,0.00,0.00,0.00,150
2023-07-25,4.09,95.91,53.98,0.00,0.00,0.00,150
2023-07-18,0.00,100.00,53.98,0.00,0.00,0.00,154
2023-07-11,0.00,100.00,0.99,0.00,0.00,0.00,101
2023-07-04,0.00,100.00,0.99,0.00,0.00,0.00,101
2023-06-27,0.00,100.00,0.99,0.00,0.00,0.00,101
2023-06-20,0.00,100.00,1.10,0.00,0.00,0.00,101
2023-06-13,0.00,100.00,0.72,0.00,0.00,0.00,101
2023-06-06,0.00,100.00,1.01,0.00,0.00,0.00,101
2023-05-30,78.80,21.20,0.00,0.00,0.00,0.00,21
2023-05-23,78.22,21.78,0.00,0.00,0.00,0.00,22
2023-05-16,78.22,21.78,0.00,0.00,0.00,0.00,22
2023-05-09,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-05-02,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-04-25,0.00,100.00,100.00,0.00,0.00,0.00,200
2023-04-18,0.00,100.00,100.00,0.00,0.00,0.00,200
2023-04-11,0.00,100.00,14.00,0.00,0.00,0.00,114
2023-04-04,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-03-28,0.00,100.00,0.00,0.00,0.00,0.00,100
