Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4,DSCI
2024-03-05,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-27,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-20,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-13,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-06,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-01-30,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-01-23,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-01-16,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-01-09,0.00,100.00,0.00,0.00,0.00,0.00,100
2024-01-02,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-12-26,0.00,100.00,54.35,0.00,0.00,0.00,154
2023-12-19,0.00,100.00,54.88,0.00,0.00,0.00,155
2023-12-12,0.00,100.00,100.00,0.00,0.00,0.00,200
2023-12-05,0.00,100.00,100.00,100.00,0.00,0.00,300
2023-11-28,0.00,100.00,100.00,100.00,0.00,0.00,300
2023-11-21,0.00,100.00,100.00,100.00,0.00,0.00,300
2023-11-14,0.00,100.00,100.00,25.37,0.00,0.00,225
2023-11-07,0.00,100.00,100.00,0.00,0.00,0.00,200
2023-10-31,0.00,100.00,82.29,0.00,0.00,0.00,182
2023-10-24,0.00,100.00,16.60,0.00,0.00,0.00,117
2023-10-17,0.00,100.00,16.60,0.00,0.00,0.00,117
2023-10-10,0.00,100.00,16.25,0.00,0.00,0.00,116
2023-10-03,32.12,67.88,16.25,0.00,0.00,0.00,84
2023-09-26,32.12,67.88,16.25,0.00,0.00,0.00,84
2023-09-19,32.12,67.88,16.25,0.00,0.00,0.00,84
2023-09-12,38.83,61.17,0.00,0.00,0.00,0.00,61
2023-09-05,38.83,61.17,0.00,0.00,0.00,0.00,61
2023-08-29,91.79,8.21,0.00,0.00,0.00,0.00,8
2023-08-22,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-08-15,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-08-08,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-08-01,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-07-25,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-07-18,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-07-11,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-07-04,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-06-27,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-06-20,96.51,3.49,0.00,0.00,0.00,0.00,3
2023-06-13,96.51,3.49,0.00,0.00,0.00,0.00,3
2023-06-06,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-05-30,86.53,13.47,0.00,0.00,0.00,0.00,13
2023-05-23,85.84,14.16,0.00,0.00,0.00,0.00,14
2023-05-16,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-05-09,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-05-02,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-04-25,13.21,86.79,0.00,0.00,0.00,0.00,87
2023-04-18,13.21,86.79,0.00,0.00,0.00,0.00,87
2023-04-11,13.21,86.79,0.00,0.00,0.00,0.00,87
2023-04-04,13.21,86.79,0.00,0.00,0.00,0.00,87
2023-03-28,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-03-21,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-03-14,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-03-07,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-02-28,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-02-21,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-02-14,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-02-07,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-01-31,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-01-24,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-01-17,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-01-10,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-01-03,100.00,0.00,0.00,0.00,0.00,0.00,0
2022-12-27,100.00,0.00,0.00,0.00,0.00,0.00,0
2022-12-20,100.00,0.00,0.00,0.00,0.00,0.00,0
2022-12-13,100.00,0.00,0.00,0.00,0.00,0.00,0
2022-12-06,100.00,0.00,0.00,0.00,0.00,0.00,0
2022-11-29,100.00,0.00,0.00,0.00,0.00,0.00,0
2022-11-22,100.00,0.00,0.00,0.00,0.00,0.00,0
2022-11-15,100.00,0.00,0.00,0.00,0.00,0.00,0
2022-11-08,100.00,0.00,0.00,0.00,0.00,0.00,0
2022-11-01,100.00,0.00,0.00,0.00,0.00,0.00,0
2022-10-25,100.00,0.00,0.00,0.00,0.00,0.00,0
2022-10-18,100.00,0.00,0.00,0.00,0.00,0.00,0
2022-10-11,100.00,0.00,0.00,0.00,0.00,0.00,0
2022-10-04,100.00,0.00,0.00,0.00,0.00,0.00,0
2022-09-27,98.08,1.92,0.00,0.00,0.00,0.00,2
2022-09-20,100.00,0.00,0.00,0.00,0.00,0.00,0
2022-09-13,100.00,0.00,0.00,0.00,0.00,0.00,0
2022-09-06,100.00,0.00,0.00,0.00,0.00,0.00,0
2022-08-30,100.00,0.00,0.00,0.00,0.00,0.00,0
2022-08-23,100.00,0.00,0.00,0.00,0.00,0.00,0
