Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4,DSCI
2024-03-12,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-03-05,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-27,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-20,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-13,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-06,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-01-30,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-01-23,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-01-16,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-01-09,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-01-02,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-12-26,99.87,0.13,0.00,0.00,0.00,0.00,0
2023-12-19,99.85,0.15,0.00,0.00,0.00,0.00,0
2023-12-12,62.49,37.51,0.15,0.00,0.00,0.00,38
2023-12-05,38.85,61.15,0.15,0.00,0.00,0.00,61
2023-11-28,38.85,61.15,0.07,0.00,0.00,0.00,61
2023-11-21,38.85,61.15,0.02,0.00,0.00,0.00,61
2023-11-14,38.85,61.15,0.00,0.00,0.00,0.00,61
2023-11-07,38.85,61.15,0.00,0.00,0.00,0.00,61
2023-10-31,48.78,51.22,0.00,0.00,0.00,0.00,51
2023-10-24,99.59,0.41,0.00,0.00,0.00,0.00,0
2023-10-17,99.59,0.41,0.00,0.00,0.00,0.00,0
2023-10-10,99.59,0.41,0.00,0.00,0.00,0.00,0
2023-10-03,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-09-26,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-09-19,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-09-12,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-09-05,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-08-29,97.61,2.39,0.00,0.00,0.00,0.00,2
2023-08-22,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-08-15,99.49,0.51,0.00,0.00,0.00,0.00,1
2023-08-08,99.49,0.51,0.00,0.00,0.00,0.00,1
2023-08-01,99.49,0.51,0.00,0.00,0.00,0.00,1
2023-07-25,99.49,0.51,0.00,0.00,0.00,0.00,1
2023-07-18,98.03,1.97,0.00,0.00,0.00,0.00,2
2023-07-11,98.32,1.68,0.00,0.00,0.00,0.00,2
2023-07-04,53.12,46.88,0.00,0.00,0.00,0.00,47
2023-06-27,53.12,46.88,0.00,0.00,0.00,0.00,47
2023-06-20,53.12,46.88,0.00,0.00,0.00,0.00,47
2023-06-13,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-06-06,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-05-30,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-05-23,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-05-16,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-05-09,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-05-02,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-04-25,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-04-18,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-04-11,99.73,0.27,0.00,0.00,0.00,0.00,0
2023-04-04,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-03-28,0.00,100.00,0.00,0.00,0.00,0.00,100
