Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4,DSCI
2024-03-12,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-03-05,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-27,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-20,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-13,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-06,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-01-30,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-01-23,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-01-16,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-01-09,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-01-02,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-12-26,99.33,0.67,0.00,0.00,0.00,0.00,1
2023-12-19,99.40,0.60,0.00,0.00,0.00,0.00,1
2023-12-12,99.40,0.60,0.00,0.00,0.00,0.00,1
2023-12-05,36.40,63.60,0.60,0.00,0.00,0.00,64
2023-11-28,36.40,63.60,0.36,0.00,0.00,0.00,64
2023-11-21,36.40,63.60,0.15,0.00,0.00,0.00,64
2023-11-14,36.40,63.60,0.00,0.00,0.00,0.00,64
2023-11-07,36.42,63.58,0.00,0.00,0.00,0.00,64
2023-10-31,35.90,64.10,0.00,0.00,0.00,0.00,64
2023-10-24,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-10-17,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-10-10,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-10-03,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-09-26,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-09-19,7.35,92.65,0.00,0.00,0.00,0.00,93
2023-09-12,63.03,36.97,0.00,0.00,0.00,0.00,37
2023-09-05,59.67,40.33,0.00,0.00,0.00,0.00,40
2023-08-29,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-08-22,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-08-15,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-08-08,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-08-01,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-07-25,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-07-18,97.41,2.59,0.00,0.00,0.00,0.00,3
2023-07-11,62.66,37.34,0.00,0.00,0.00,0.00,37
2023-07-04,23.21,76.79,0.49,0.00,0.00,0.00,77
2023-06-27,21.35,78.65,4.82,0.00,0.00,0.00,83
2023-06-20,0.00,100.00,78.80,0.00,0.00,0.00,179
2023-06-13,20.84,79.16,0.00,0.00,0.00,0.00,79
2023-06-06,24.01,75.99,0.00,0.00,0.00,0.00,76
2023-05-30,23.28,76.72,0.00,0.00,0.00,0.00,77
2023-05-23,15.12,84.88,0.00,0.00,0.00,0.00,85
2023-05-16,14.82,85.18,0.00,0.00,0.00,0.00,85
2023-05-09,14.82,85.18,0.00,0.00,0.00,0.00,85
2023-05-02,14.82,85.18,0.00,0.00,0.00,0.00,85
2023-04-25,0.00,100.00,100.00,0.00,0.00,0.00,200
2023-04-18,0.00,100.00,100.00,0.00,0.00,0.00,200
2023-04-11,0.00,100.00,100.00,0.00,0.00,0.00,200
2023-04-04,0.00,100.00,8.82,0.00,0.00,0.00,109
2023-03-28,0.00,100.00,8.82,0.00,0.00,0.00,109
