Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4,DSCI
2024-03-05,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-27,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-20,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-13,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-06,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-01-30,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-01-23,17.05,82.95,0.00,0.00,0.00,0.00,83
2024-01-16,17.05,82.95,0.00,0.00,0.00,0.00,83
2024-01-09,0.00,100.00,82.95,0.00,0.00,0.00,183
2024-01-02,0.00,100.00,100.00,6.25,0.00,0.00,206
2023-12-26,0.00,100.00,100.00,69.57,0.00,0.00,270
2023-12-19,0.00,100.00,100.00,69.57,0.00,0.00,270
2023-12-12,0.00,100.00,100.00,69.57,0.00,0.00,270
2023-12-05,0.00,100.00,100.00,79.87,0.00,0.00,280
2023-11-28,0.00,100.00,100.00,79.87,0.00,0.00,280
2023-11-21,0.00,100.00,100.00,80.40,15.48,0.00,296
2023-11-14,0.00,100.00,100.00,53.05,13.52,0.00,267
2023-11-07,0.00,100.00,100.00,53.05,13.52,0.00,267
2023-10-31,0.00,100.00,100.00,53.05,0.00,0.00,253
2023-10-24,0.00,100.00,100.00,52.43,0.00,0.00,252
2023-10-17,0.00,100.00,100.00,52.43,0.00,0.00,252
2023-10-10,0.00,100.00,100.00,52.43,0.00,0.00,252
2023-10-03,0.00,100.00,100.00,0.00,0.00,0.00,200
2023-09-26,0.00,100.00,100.00,0.00,0.00,0.00,200
2023-09-19,0.00,100.00,100.00,0.00,0.00,0.00,200
2023-09-12,0.00,100.00,98.99,0.00,0.00,0.00,199
2023-09-05,0.00,100.00,98.99,0.00,0.00,0.00,199
2023-08-29,0.00,100.00,98.42,0.00,0.00,0.00,198
2023-08-22,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-08-15,8.25,91.75,0.00,0.00,0.00,0.00,92
2023-08-08,8.25,91.75,0.00,0.00,0.00,0.00,92
2023-08-01,88.07,11.93,0.00,0.00,0.00,0.00,12
2023-07-25,88.07,11.93,0.00,0.00,0.00,0.00,12
2023-07-18,88.63,11.37,0.00,0.00,0.00,0.00,11
2023-07-11,0.00,100.00,0.87,0.00,0.00,0.00,101
2023-07-04,0.00,100.00,0.87,0.00,0.00,0.00,101
2023-06-27,0.00,100.00,0.87,0.00,0.00,0.00,101
2023-06-20,0.00,100.00,100.00,0.00,0.00,0.00,200
2023-06-13,0.00,100.00,99.85,0.00,0.00,0.00,200
2023-06-06,0.00,100.00,99.58,0.00,0.00,0.00,200
2023-05-30,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-05-23,17.40,82.60,0.00,0.00,0.00,0.00,83
2023-05-16,19.21,80.79,0.00,0.00,0.00,0.00,81
2023-05-09,15.52,84.48,0.00,0.00,0.00,0.00,84
2023-05-02,15.52,84.48,0.00,0.00,0.00,0.00,84
2023-04-25,15.52,84.48,0.00,0.00,0.00,0.00,84
2023-04-18,15.52,84.48,0.00,0.00,0.00,0.00,84
2023-04-11,29.97,70.03,0.00,0.00,0.00,0.00,70
2023-04-04,29.97,70.03,0.00,0.00,0.00,0.00,70
2023-03-28,96.44,3.56,0.00,0.00,0.00,0.00,4
2023-03-21,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-03-14,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-03-07,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-02-28,44.13,55.87,0.00,0.00,0.00,0.00,56
2023-02-21,42.01,57.99,0.00,0.00,0.00,0.00,58
2023-02-14,42.01,57.99,0.00,0.00,0.00,0.00,58
2023-02-07,42.01,57.99,0.00,0.00,0.00,0.00,58
2023-01-31,44.93,55.07,0.00,0.00,0.00,0.00,55
2023-01-24,44.93,55.07,0.00,0.00,0.00,0.00,55
2023-01-17,67.31,32.69,0.00,0.00,0.00,0.00,33
2023-01-10,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-01-03,100.00,0.00,0.00,0.00,0.00,0.00,0
2022-12-27,100.00,0.00,0.00,0.00,0.00,0.00,0
2022-12-20,100.00,0.00,0.00,0.00,0.00,0.00,0
2022-12-13,100.00,0.00,0.00,0.00,0.00,0.00,0
2022-12-06,100.00,0.00,0.00,0.00,0.00,0.00,0
2022-11-29,100.00,0.00,0.00,0.00,0.00,0.00,0
2022-11-22,100.00,0.00,0.00,0.00,0.00,0.00,0
2022-11-15,100.00,0.00,0.00,0.00,0.00,0.00,0
2022-11-08,100.00,0.00,0.00,0.00,0.00,0.00,0
2022-11-01,100.00,0.00,0.00,0.00,0.00,0.00,0
2022-10-25,100.00,0.00,0.00,0.00,0.00,0.00,0
2022-10-18,100.00,0.00,0.00,0.00,0.00,0.00,0
2022-10-11,100.00,0.00,0.00,0.00,0.00,0.00,0
2022-10-04,100.00,0.00,0.00,0.00,0.00,0.00,0
2022-09-27,48.91,51.09,0.00,0.00,0.00,0.00,51
2022-09-20,48.91,51.09,0.00,0.00,0.00,0.00,51
2022-09-13,48.91,51.09,0.00,0.00,0.00,0.00,51
2022-09-06,48.91,51.09,0.00,0.00,0.00,0.00,51
2022-08-30,100.00,0.00,0.00,0.00,0.00,0.00,0
2022-08-23,100.00,0.00,0.00,0.00,0.00,0.00,0
