Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4,DSCI
2024-03-12,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-03-05,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-27,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-20,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-13,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-06,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-01-30,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-01-23,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-01-16,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-01-09,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-01-02,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-12-26,78.37,21.63,0.00,0.00,0.00,0.00,22
2023-12-19,78.37,21.63,0.00,0.00,0.00,0.00,22
2023-12-12,75.09,24.91,0.00,0.00,0.00,0.00,25
2023-12-05,41.04,58.96,0.00,0.00,0.00,0.00,59
2023-11-28,41.04,58.96,0.02,0.00,0.00,0.00,59
2023-11-21,41.04,58.96,0.17,0.00,0.00,0.00,59
2023-11-14,41.04,58.96,0.00,0.00,0.00,0.00,59
2023-11-07,84.45,15.55,0.00,0.00,0.00,0.00,16
2023-10-31,85.03,14.97,0.00,0.00,0.00,0.00,15
2023-10-24,98.30,1.70,0.00,0.00,0.00,0.00,2
2023-10-17,98.30,1.70,0.00,0.00,0.00,0.00,2
2023-10-10,98.30,1.70,0.00,0.00,0.00,0.00,2
2023-10-03,98.30,1.70,0.00,0.00,0.00,0.00,2
2023-09-26,98.30,1.70,0.00,0.00,0.00,0.00,2
2023-09-19,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-09-12,46.94,53.06,0.00,0.00,0.00,0.00,53
2023-09-05,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-08-29,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-08-22,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-08-15,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-08-08,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-08-01,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-07-25,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-07-18,91.00,9.00,0.00,0.00,0.00,0.00,9
2023-07-11,89.30,10.70,0.00,0.00,0.00,0.00,11
2023-07-04,51.69,48.31,0.00,0.00,0.00,0.00,48
2023-06-27,47.82,52.18,28.98,0.00,0.00,0.00,81
2023-06-20,0.00,100.00,39.14,0.00,0.00,0.00,139
2023-06-13,60.86,39.14,0.00,0.00,0.00,0.00,39
2023-06-06,60.46,39.54,0.00,0.00,0.00,0.00,40
2023-05-30,59.60,40.40,0.00,0.00,0.00,0.00,40
2023-05-23,8.93,91.07,0.00,0.00,0.00,0.00,91
2023-05-16,0.28,99.72,0.00,0.00,0.00,0.00,100
2023-05-09,0.28,99.72,0.00,0.00,0.00,0.00,100
2023-05-02,0.28,99.72,0.00,0.00,0.00,0.00,100
2023-04-25,0.00,100.00,100.00,0.00,0.00,0.00,200
2023-04-18,0.00,100.00,100.00,0.00,0.00,0.00,200
2023-04-11,0.00,100.00,100.00,0.00,0.00,0.00,200
2023-04-04,0.00,100.00,94.85,0.00,0.00,0.00,195
2023-03-28,0.00,100.00,94.85,0.00,0.00,0.00,195
