Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4,DSCI
2024-03-12,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-03-05,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-27,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-20,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-13,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-06,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-01-30,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-01-23,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-01-16,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-01-09,64.02,35.98,0.00,0.00,0.00,0.00,36
2024-01-02,64.02,35.98,0.00,0.00,0.00,0.00,36
2023-12-26,4.26,95.74,0.00,0.00,0.00,0.00,96
2023-12-19,4.46,95.54,0.00,0.00,0.00,0.00,96
2023-12-12,4.46,95.54,36.96,0.00,0.00,0.00,133
2023-12-05,0.00,100.00,95.54,0.00,0.00,0.00,196
2023-11-28,0.00,100.00,95.00,0.00,0.00,0.00,195
2023-11-21,0.00,100.00,94.28,0.00,0.00,0.00,194
2023-11-14,0.00,100.00,60.75,0.00,0.00,0.00,161
2023-11-07,0.00,100.00,5.65,0.00,0.00,0.00,106
2023-10-31,0.00,100.00,5.58,0.00,0.00,0.00,106
2023-10-24,52.56,47.44,0.00,0.00,0.00,0.00,47
2023-10-17,52.56,47.44,0.00,0.00,0.00,0.00,47
2023-10-10,52.56,47.44,0.00,0.00,0.00,0.00,47
2023-10-03,52.56,47.44,0.00,0.00,0.00,0.00,47
2023-09-26,52.56,47.44,0.00,0.00,0.00,0.00,47
2023-09-19,16.25,83.75,0.00,0.00,0.00,0.00,84
2023-09-12,28.73,71.27,0.00,0.00,0.00,0.00,71
2023-09-05,80.32,19.68,0.00,0.00,0.00,0.00,20
2023-08-29,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-08-22,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-08-15,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-08-08,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-08-01,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-07-25,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-07-18,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-07-11,59.45,40.55,0.00,0.00,0.00,0.00,41
2023-07-04,49.71,50.29,0.00,0.00,0.00,0.00,50
2023-06-27,47.68,52.32,0.00,0.00,0.00,0.00,52
2023-06-20,0.00,100.00,40.51,0.00,0.00,0.00,141
2023-06-13,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-06-06,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-05-30,12.68,87.32,0.00,0.00,0.00,0.00,87
2023-05-23,12.83,87.17,0.00,0.00,0.00,0.00,87
2023-05-16,12.83,87.17,0.00,0.00,0.00,0.00,87
2023-05-09,4.75,95.25,0.00,0.00,0.00,0.00,95
2023-05-02,4.75,95.25,0.00,0.00,0.00,0.00,95
2023-04-25,0.00,100.00,100.00,0.00,0.00,0.00,200
2023-04-18,0.00,100.00,100.00,0.00,0.00,0.00,200
2023-04-11,0.00,100.00,100.00,0.00,0.00,0.00,200
2023-04-04,0.00,100.00,0.98,0.00,0.00,0.00,101
2023-03-28,0.00,100.00,0.00,0.00,0.00,0.00,100
