Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4,DSCI
2024-03-12,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-03-05,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-27,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-20,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-13,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-06,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-01-30,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-01-23,0.00,100.00,0.00,0.00,0.00,0.00,100
2024-01-16,0.00,100.00,0.00,0.00,0.00,0.00,100
2024-01-09,0.00,100.00,100.00,0.00,0.00,0.00,200
2024-01-02,0.00,100.00,100.00,0.16,0.00,0.00,200
2023-12-26,0.00,100.00,100.00,77.74,0.00,0.00,278
2023-12-19,0.00,100.00,100.00,77.74,0.00,0.00,278
2023-12-12,0.00,100.00,100.00,92.31,0.00,0.00,292
2023-12-05,0.00,100.00,100.00,100.00,0.00,0.00,300
2023-11-28,0.00,100.00,100.00,100.00,0.00,0.00,300
2023-11-21,0.00,100.00,100.00,100.00,21.88,0.00,322
2023-11-14,0.00,100.00,100.00,75.40,14.27,0.00,290
2023-11-07,0.00,100.00,100.00,63.92,14.27,0.00,278
2023-10-31,0.00,100.00,100.00,47.53,0.00,0.00,248
2023-10-24,0.00,100.00,97.05,47.53,0.00,0.00,245
2023-10-17,0.00,100.00,97.05,47.53,0.00,0.00,245
2023-10-10,0.78,99.22,80.50,0.00,0.00,0.00,180
2023-10-03,0.78,99.22,80.50,0.00,0.00,0.00,180
2023-09-26,0.78,99.22,80.50,0.00,0.00,0.00,180
2023-09-19,0.78,99.22,80.50,1.90,0.00,0.00,182
2023-09-12,0.78,99.22,44.41,0.00,0.00,0.00,144
2023-09-05,0.78,99.22,44.41,0.00,0.00,0.00,144
2023-08-29,47.39,52.61,0.00,0.00,0.00,0.00,53
2023-08-22,47.34,52.66,0.00,0.00,0.00,0.00,53
2023-08-15,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-08-08,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-08-01,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-07-25,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-07-18,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-07-11,78.23,21.77,0.00,0.00,0.00,0.00,22
2023-07-04,78.01,21.99,0.00,0.00,0.00,0.00,22
2023-06-27,52.79,47.21,0.00,0.00,0.00,0.00,47
2023-06-20,0.00,100.00,48.45,0.00,0.00,0.00,148
2023-06-13,0.00,100.00,48.45,0.00,0.00,0.00,148
2023-06-06,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-05-30,28.30,71.70,0.00,0.00,0.00,0.00,72
2023-05-23,29.10,70.90,0.00,0.00,0.00,0.00,71
2023-05-16,29.10,70.90,0.00,0.00,0.00,0.00,71
2023-05-09,9.21,90.79,0.00,0.00,0.00,0.00,91
2023-05-02,9.21,90.79,0.00,0.00,0.00,0.00,91
2023-04-25,0.00,100.00,43.58,0.00,0.00,0.00,144
2023-04-18,0.00,100.00,43.58,0.00,0.00,0.00,144
2023-04-11,0.00,100.00,89.86,0.00,0.00,0.00,190
2023-04-04,0.00,100.00,91.35,0.00,0.00,0.00,191
2023-03-28,0.00,100.00,0.00,0.00,0.00,0.00,100
