Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4,DSCI
2024-03-12,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-03-05,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-27,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-20,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-13,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-06,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-01-30,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-01-23,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-01-16,0.00,100.00,0.00,0.00,0.00,0.00,100
2024-01-09,0.00,100.00,100.00,0.00,0.00,0.00,200
2024-01-02,0.00,100.00,100.00,51.88,0.00,0.00,252
2023-12-26,0.00,100.00,100.00,98.69,0.00,0.00,299
2023-12-19,0.00,100.00,100.00,98.69,0.00,0.00,299
2023-12-12,0.00,100.00,100.00,98.69,0.00,0.00,299
2023-12-05,0.00,100.00,100.00,100.00,0.00,0.00,300
2023-11-28,0.00,100.00,100.00,100.00,0.00,0.00,300
2023-11-21,0.00,100.00,100.00,100.00,53.97,0.00,354
2023-11-14,0.00,100.00,100.00,100.00,53.60,0.00,354
2023-11-07,0.00,100.00,100.00,100.00,31.26,0.00,331
2023-10-31,0.00,100.00,100.00,100.00,0.00,0.00,300
2023-10-24,0.00,100.00,100.00,100.00,0.00,0.00,300
2023-10-17,0.00,100.00,100.00,100.00,0.00,0.00,300
2023-10-10,0.00,100.00,100.00,100.00,0.00,0.00,300
2023-10-03,0.00,100.00,100.00,100.00,0.00,0.00,300
2023-09-26,0.00,100.00,100.00,100.00,0.00,0.00,300
2023-09-19,0.00,100.00,100.00,100.00,0.00,0.00,300
2023-09-12,0.00,100.00,100.00,100.00,0.00,0.00,300
2023-09-05,0.00,100.00,100.00,100.00,0.00,0.00,300
2023-08-29,0.00,100.00,100.00,0.00,0.00,0.00,200
2023-08-22,0.00,100.00,43.91,0.00,0.00,0.00,144
2023-08-15,0.73,99.27,43.91,0.00,0.00,0.00,143
2023-08-08,0.73,99.27,0.00,0.00,0.00,0.00,99
2023-08-01,28.73,71.27,0.00,0.00,0.00,0.00,71
2023-07-25,28.73,71.27,0.00,0.00,0.00,0.00,71
2023-07-18,21.10,78.90,0.00,0.00,0.00,0.00,79
2023-07-11,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-07-04,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-06-27,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-06-20,0.00,100.00,99.08,0.00,0.00,0.00,199
2023-06-13,0.00,100.00,99.08,0.00,0.00,0.00,199
2023-06-06,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-05-30,51.66,48.34,0.00,0.00,0.00,0.00,48
2023-05-23,50.95,49.05,0.00,0.00,0.00,0.00,49
2023-05-16,50.95,49.05,0.00,0.00,0.00,0.00,49
2023-05-09,5.78,94.22,38.21,0.00,0.00,0.00,132
2023-05-02,5.78,94.22,38.21,0.00,0.00,0.00,132
2023-04-25,0.00,100.00,78.21,0.00,0.00,0.00,178
2023-04-18,0.00,100.00,78.21,0.00,0.00,0.00,178
2023-04-11,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-04-04,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-03-28,60.10,39.90,0.00,0.00,0.00,0.00,40
