Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4,DSCI
2024-03-12,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-03-05,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-27,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-20,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-13,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-06,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-01-30,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-01-23,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-01-16,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-01-09,85.44,14.56,0.00,0.00,0.00,0.00,15
2024-01-02,53.58,46.42,0.00,0.00,0.00,0.00,46
2023-12-26,48.75,51.25,2.56,0.00,0.00,0.00,54
2023-12-19,48.61,51.39,2.56,0.00,0.00,0.00,54
2023-12-12,0.00,100.00,3.15,0.00,0.00,0.00,103
2023-12-05,0.00,100.00,3.15,0.00,0.00,0.00,103
2023-11-28,0.00,100.00,2.67,0.00,0.00,0.00,103
2023-11-21,0.00,100.00,2.12,0.00,0.00,0.00,102
2023-11-14,0.00,100.00,2.07,0.00,0.00,0.00,102
2023-11-07,0.00,100.00,2.07,0.00,0.00,0.00,102
2023-10-31,0.00,100.00,2.01,0.00,0.00,0.00,102
2023-10-24,92.43,7.57,0.00,0.00,0.00,0.00,8
2023-10-17,92.43,7.57,0.00,0.00,0.00,0.00,8
2023-10-10,92.43,7.57,0.00,0.00,0.00,0.00,8
2023-10-03,92.43,7.57,0.00,0.00,0.00,0.00,8
2023-09-26,92.43,7.57,0.00,0.00,0.00,0.00,8
2023-09-19,0.41,99.59,0.02,0.00,0.00,0.00,100
2023-09-12,36.34,63.66,0.02,0.00,0.00,0.00,64
2023-09-05,36.34,63.66,13.91,0.00,0.00,0.00,78
2023-08-29,86.00,14.00,2.18,0.00,0.00,0.00,16
2023-08-22,86.21,13.79,0.70,0.00,0.00,0.00,14
2023-08-15,86.21,13.79,0.70,0.00,0.00,0.00,14
2023-08-08,86.21,13.79,0.70,0.00,0.00,0.00,14
2023-08-01,0.00,100.00,13.79,0.00,0.00,0.00,114
2023-07-25,0.00,100.00,34.01,0.00,0.00,0.00,134
2023-07-18,0.00,100.00,34.01,0.00,0.00,0.00,134
2023-07-11,0.00,100.00,51.69,0.00,0.00,0.00,152
2023-07-04,0.00,100.00,51.69,0.00,0.00,0.00,152
2023-06-27,0.00,100.00,51.69,0.00,0.00,0.00,152
2023-06-20,0.00,100.00,51.69,0.00,0.00,0.00,152
2023-06-13,0.00,100.00,36.12,0.00,0.00,0.00,136
2023-06-06,0.00,100.00,35.19,0.00,0.00,0.00,135
2023-05-30,34.99,65.01,25.74,0.00,0.00,0.00,91
2023-05-23,34.37,65.63,0.00,0.00,0.00,0.00,66
2023-05-16,34.37,65.63,0.00,0.00,0.00,0.00,66
2023-05-09,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-05-02,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-04-25,0.00,100.00,100.00,0.00,0.00,0.00,200
2023-04-18,0.00,100.00,100.00,0.00,0.00,0.00,200
2023-04-11,0.00,100.00,41.59,0.00,0.00,0.00,142
2023-04-04,0.00,100.00,34.39,0.00,0.00,0.00,134
2023-03-28,0.00,100.00,34.39,0.00,0.00,0.00,134
