Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4,DSCI
2024-03-12,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-03-05,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-27,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-20,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-13,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-06,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-01-30,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-01-23,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-01-16,12.15,87.85,0.00,0.00,0.00,0.00,88
2024-01-09,0.00,100.00,87.85,0.00,0.00,0.00,188
2024-01-02,0.00,100.00,87.85,0.00,0.00,0.00,188
2023-12-26,0.00,100.00,100.00,38.58,0.00,0.00,239
2023-12-19,0.00,100.00,100.00,38.58,0.00,0.00,239
2023-12-12,0.00,100.00,100.00,38.58,0.00,0.00,239
2023-12-05,0.00,100.00,100.00,99.05,0.00,0.00,299
2023-11-28,0.00,100.00,100.00,99.05,0.00,0.00,299
2023-11-21,0.00,100.00,100.00,98.90,0.00,0.00,299
2023-11-14,0.00,100.00,100.00,91.58,0.00,0.00,292
2023-11-07,0.00,100.00,100.00,85.34,0.00,0.00,285
2023-10-31,0.00,100.00,100.00,85.34,0.00,0.00,285
2023-10-24,0.00,100.00,100.00,85.34,0.00,0.00,285
2023-10-17,0.00,100.00,100.00,85.34,0.00,0.00,285
2023-10-10,0.00,100.00,100.00,85.34,0.00,0.00,285
2023-10-03,0.00,100.00,100.00,85.34,0.00,0.00,285
2023-09-26,0.00,100.00,100.00,85.34,0.00,0.00,285
2023-09-19,0.00,100.00,100.00,88.17,0.00,0.00,288
2023-09-12,0.00,100.00,100.00,88.17,0.00,0.00,288
2023-09-05,0.00,100.00,100.00,88.17,0.00,0.00,288
2023-08-29,0.00,100.00,98.79,4.86,0.00,0.00,204
2023-08-22,0.00,100.00,45.05,0.00,0.00,0.00,145
2023-08-15,0.00,100.00,45.05,0.00,0.00,0.00,145
2023-08-08,13.15,86.85,2.49,0.00,0.00,0.00,89
2023-08-01,11.70,88.30,2.56,0.00,0.00,0.00,91
2023-07-25,11.70,88.30,2.56,0.00,0.00,0.00,91
2023-07-18,0.00,100.00,2.56,0.00,0.00,0.00,103
2023-07-11,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-07-04,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-06-27,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-06-20,0.00,100.00,2.62,0.00,0.00,0.00,103
2023-06-13,0.00,100.00,2.62,0.00,0.00,0.00,103
2023-06-06,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-05-30,82.29,17.71,0.00,0.00,0.00,0.00,18
2023-05-23,81.50,18.50,0.00,0.00,0.00,0.00,19
2023-05-16,81.50,18.50,0.00,0.00,0.00,0.00,19
2023-05-09,27.72,72.28,0.75,0.00,0.00,0.00,73
2023-05-02,27.72,72.28,0.75,0.00,0.00,0.00,73
2023-04-25,0.00,100.00,100.00,0.00,0.00,0.00,200
2023-04-18,0.00,100.00,100.00,0.00,0.00,0.00,200
2023-04-11,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-04-04,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-03-28,0.00,100.00,0.00,0.00,0.00,0.00,100
