Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4,DSCI
2024-03-12,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-03-05,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-27,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-20,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-13,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-06,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-01-30,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-01-23,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-01-16,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-01-09,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-01-02,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-12-26,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-12-19,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-12-12,0.00,100.00,95.61,0.00,0.00,0.00,196
2023-12-05,0.00,100.00,98.71,0.00,0.00,0.00,199
2023-11-28,0.00,100.00,99.09,0.00,0.00,0.00,199
2023-11-21,0.00,100.00,99.45,0.00,0.00,0.00,199
2023-11-14,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-11-07,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-10-31,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-10-24,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-10-17,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-10-10,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-10-03,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-09-26,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-09-19,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-09-12,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-09-05,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-08-29,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-08-22,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-08-15,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-08-08,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-08-01,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-07-25,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-07-18,87.12,12.88,0.00,0.00,0.00,0.00,13
2023-07-11,72.65,27.35,12.57,0.00,0.00,0.00,40
2023-07-04,10.83,89.17,12.57,0.00,0.00,0.00,102
2023-06-27,5.49,94.51,13.00,0.00,0.00,0.00,108
2023-06-20,0.00,100.00,13.00,0.00,0.00,0.00,113
2023-06-13,9.84,90.16,0.00,0.00,0.00,0.00,90
2023-06-06,9.84,90.16,0.00,0.00,0.00,0.00,90
2023-05-30,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-05-23,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-05-16,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-05-09,69.49,30.51,0.00,0.00,0.00,0.00,31
2023-05-02,69.49,30.51,0.00,0.00,0.00,0.00,31
2023-04-25,0.00,100.00,63.52,0.00,0.00,0.00,164
2023-04-18,0.00,100.00,63.52,0.00,0.00,0.00,164
2023-04-11,0.00,100.00,63.52,0.00,0.00,0.00,164
2023-04-04,0.00,100.00,100.00,0.00,0.00,0.00,200
2023-03-28,0.00,100.00,100.00,0.00,0.00,0.00,200
