Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4,DSCI
2024-03-12,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-03-05,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-27,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-20,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-13,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-06,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-01-30,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-01-23,36.04,63.96,0.00,0.00,0.00,0.00,64
2024-01-16,35.89,64.11,0.00,0.00,0.00,0.00,64
2024-01-09,0.00,100.00,64.11,0.00,0.00,0.00,164
2024-01-02,0.00,100.00,90.73,0.00,0.00,0.00,191
2023-12-26,0.00,100.00,100.00,0.56,0.00,0.00,201
2023-12-19,0.00,100.00,100.00,0.56,0.00,0.00,201
2023-12-12,0.00,100.00,100.00,0.56,0.00,0.00,201
2023-12-05,0.00,100.00,100.00,100.00,0.00,0.00,300
2023-11-28,0.00,100.00,100.00,100.00,0.00,0.00,300
2023-11-21,0.00,100.00,100.00,100.00,40.75,0.00,341
2023-11-14,0.00,100.00,100.00,100.00,40.12,0.00,340
2023-11-07,0.00,100.00,100.00,100.00,40.12,0.00,340
2023-10-31,0.00,100.00,100.00,66.25,0.00,0.00,266
2023-10-24,0.00,100.00,100.00,66.25,0.00,0.00,266
2023-10-17,0.00,100.00,100.00,66.25,0.00,0.00,266
2023-10-10,0.00,100.00,100.00,2.21,0.00,0.00,202
2023-10-03,0.00,100.00,100.00,0.00,0.00,0.00,200
2023-09-26,0.00,100.00,100.00,0.00,0.00,0.00,200
2023-09-19,0.00,100.00,100.00,52.46,0.00,0.00,252
2023-09-12,0.00,100.00,90.53,0.00,0.00,0.00,191
2023-09-05,0.00,100.00,57.61,0.00,0.00,0.00,158
2023-08-29,0.00,100.00,1.21,0.00,0.00,0.00,101
2023-08-22,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-08-15,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-08-08,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-08-01,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-07-25,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-07-18,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-07-11,0.09,99.91,0.00,0.00,0.00,0.00,100
2023-07-04,0.03,99.97,0.00,0.00,0.00,0.00,100
2023-06-27,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-06-20,0.00,100.00,100.00,0.00,0.00,0.00,200
2023-06-13,0.00,100.00,100.00,0.00,0.00,0.00,200
2023-06-06,0.07,99.93,0.00,0.00,0.00,0.00,100
2023-05-30,0.01,99.99,0.00,0.00,0.00,0.00,100
2023-05-23,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-05-16,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-05-09,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-05-02,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-04-25,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-04-18,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-04-11,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-04-04,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-03-28,0.00,100.00,0.00,0.00,0.00,0.00,100
