Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4,DSCI
2024-03-12,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-03-05,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-27,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-20,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-13,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-06,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-01-30,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-01-23,96.36,3.64,0.00,0.00,0.00,0.00,4
2024-01-16,11.32,88.68,0.00,0.00,0.00,0.00,89
2024-01-09,0.00,100.00,88.68,0.00,0.00,0.00,189
2024-01-02,0.00,100.00,100.00,86.31,0.00,0.00,286
2023-12-26,0.00,100.00,100.00,88.37,0.00,0.00,288
2023-12-19,0.00,100.00,100.00,88.37,0.00,0.00,288
2023-12-12,0.00,100.00,100.00,88.37,0.00,0.00,288
2023-12-05,0.00,100.00,100.00,100.00,0.00,0.00,300
2023-11-28,0.00,100.00,100.00,100.00,0.00,0.00,300
2023-11-21,0.00,100.00,100.00,100.00,46.88,0.00,347
2023-11-14,0.00,100.00,100.00,71.13,46.61,0.00,318
2023-11-07,0.00,100.00,100.00,71.13,36.38,0.00,308
2023-10-31,0.00,100.00,86.08,71.13,0.00,0.00,257
2023-10-24,0.00,100.00,86.99,51.44,0.00,0.00,238
2023-10-17,0.00,100.00,86.99,51.44,0.00,0.00,238
2023-10-10,0.00,100.00,86.99,50.45,0.00,0.00,237
2023-10-03,0.00,100.00,86.99,49.54,0.00,0.00,237
2023-09-26,0.00,100.00,86.99,49.54,0.00,0.00,237
2023-09-19,0.00,100.00,87.08,50.79,0.00,0.00,238
2023-09-12,0.00,100.00,87.08,47.94,0.00,0.00,235
2023-09-05,0.00,100.00,100.00,47.94,0.00,0.00,248
2023-08-29,0.00,100.00,97.24,0.00,0.00,0.00,197
2023-08-22,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-08-15,44.64,55.36,0.00,0.00,0.00,0.00,55
2023-08-08,44.64,55.36,0.00,0.00,0.00,0.00,55
2023-08-01,98.52,1.48,0.00,0.00,0.00,0.00,1
2023-07-25,98.52,1.48,0.00,0.00,0.00,0.00,1
2023-07-18,98.42,1.58,0.00,0.00,0.00,0.00,2
2023-07-11,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-07-04,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-06-27,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-06-20,0.00,100.00,100.00,0.00,0.00,0.00,200
2023-06-13,0.00,100.00,100.00,0.00,0.00,0.00,200
2023-06-06,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-05-30,80.49,19.51,0.00,0.00,0.00,0.00,20
2023-05-23,81.01,18.99,0.00,0.00,0.00,0.00,19
2023-05-16,81.01,18.99,0.00,0.00,0.00,0.00,19
2023-05-09,9.17,90.83,0.00,0.00,0.00,0.00,91
2023-05-02,9.17,90.83,0.00,0.00,0.00,0.00,91
2023-04-25,0.00,100.00,4.28,0.00,0.00,0.00,104
2023-04-18,0.00,100.00,4.28,0.00,0.00,0.00,104
2023-04-11,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-04-04,0.00,100.00,0.34,0.00,0.00,0.00,100
2023-03-28,73.63,26.37,0.00,0.00,0.00,0.00,26
