Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4,DSCI
2024-03-12,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-03-05,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-27,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-20,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-13,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-06,60.77,39.23,0.00,0.00,0.00,0.00,39
2024-01-30,60.77,39.23,0.00,0.00,0.00,0.00,39
2024-01-23,36.89,63.11,0.00,0.00,0.00,0.00,63
2024-01-16,0.00,100.00,0.00,0.00,0.00,0.00,100
2024-01-09,0.00,100.00,51.46,0.00,0.00,0.00,151
2024-01-02,0.00,100.00,53.63,0.00,0.00,0.00,154
2023-12-26,0.00,100.00,53.63,0.00,0.00,0.00,154
2023-12-19,0.00,100.00,53.63,0.00,0.00,0.00,154
2023-12-12,0.00,100.00,54.63,0.00,0.00,0.00,155
2023-12-05,0.00,100.00,100.00,28.92,0.00,0.00,229
2023-11-28,0.00,100.00,100.00,28.92,0.00,0.00,229
2023-11-21,0.00,100.00,100.00,28.43,0.00,0.00,228
2023-11-14,0.00,100.00,100.00,13.14,0.00,0.00,213
2023-11-07,0.00,100.00,100.00,0.00,0.00,0.00,200
2023-10-31,0.00,100.00,100.00,0.00,0.00,0.00,200
2023-10-24,0.00,100.00,10.73,0.00,0.00,0.00,111
2023-10-17,0.00,100.00,10.73,0.00,0.00,0.00,111
2023-10-10,6.40,93.60,3.90,0.00,0.00,0.00,98
2023-10-03,63.78,36.22,3.90,0.00,0.00,0.00,40
2023-09-26,63.78,36.22,3.90,0.00,0.00,0.00,40
2023-09-19,63.78,36.22,3.90,0.00,0.00,0.00,40
2023-09-12,63.78,36.22,3.90,0.00,0.00,0.00,40
2023-09-05,58.03,41.97,3.90,0.00,0.00,0.00,46
2023-08-29,58.03,41.97,3.38,0.00,0.00,0.00,45
2023-08-22,58.03,41.97,3.38,0.00,0.00,0.00,45
2023-08-15,58.03,41.97,3.38,0.00,0.00,0.00,45
2023-08-08,9.93,90.07,37.08,0.00,0.00,0.00,127
2023-08-01,9.93,90.07,37.08,0.00,0.00,0.00,127
2023-07-25,9.93,90.07,37.08,0.00,0.00,0.00,127
2023-07-18,9.93,90.07,0.00,0.00,0.00,0.00,90
2023-07-11,9.93,90.07,0.00,0.00,0.00,0.00,90
2023-07-04,9.93,90.07,0.00,0.00,0.00,0.00,90
2023-06-27,9.93,90.07,0.00,0.00,0.00,0.00,90
2023-06-20,9.93,90.07,0.00,0.00,0.00,0.00,90
2023-06-13,9.93,90.07,0.00,0.00,0.00,0.00,90
2023-06-06,9.93,90.07,0.00,0.00,0.00,0.00,90
2023-05-30,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-05-23,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-05-16,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-05-09,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-05-02,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-04-25,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-04-18,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-04-11,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-04-04,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-03-28,100.00,0.00,0.00,0.00,0.00,0.00,0
