Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4,DSCI
2024-03-12,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-03-05,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-27,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-20,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-13,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-06,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-01-30,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-01-23,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-01-16,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-01-09,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-01-02,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-12-26,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-12-19,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-12-12,93.40,6.60,0.00,0.00,0.00,0.00,7
2023-12-05,42.11,57.89,0.00,0.00,0.00,0.00,58
2023-11-28,42.11,57.89,0.00,0.00,0.00,0.00,58
2023-11-21,42.11,57.89,0.00,0.00,0.00,0.00,58
2023-11-14,42.11,57.89,0.00,0.00,0.00,0.00,58
2023-11-07,62.46,37.54,0.00,0.00,0.00,0.00,38
2023-10-31,95.40,4.60,0.00,0.00,0.00,0.00,5
2023-10-24,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-10-17,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-10-10,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-10-03,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-09-26,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-09-19,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-09-12,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-09-05,18.81,81.19,0.00,0.00,0.00,0.00,81
2023-08-29,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-08-22,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-08-15,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-08-08,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-08-01,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-07-25,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-07-18,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-07-11,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-07-04,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-06-27,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-06-20,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-06-13,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-06-06,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-05-30,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-05-23,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-05-16,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-05-09,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-05-02,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-04-25,36.89,63.11,0.00,0.00,0.00,0.00,63
2023-04-18,35.18,64.82,0.00,0.00,0.00,0.00,65
2023-04-11,16.02,83.98,0.00,0.00,0.00,0.00,84
2023-04-04,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-03-28,0.00,100.00,0.00,0.00,0.00,0.00,100
