Year,FIPS,Income
2008,51001,32179.0
2008,51007,33244.0
2008,51009,29631.0
2008,51011,30569.0
2008,51013,77377.0
2008,51017,37901.0
2008,51019,36467.0
2008,51021,26728.0
2008,51023,40245.0
2008,51025,25885.0
2008,51027,29484.0
2008,51029,23536.0
2008,51033,33571.0
2008,51036,32740.0
2008,51037,26720.0
2008,51041,43642.0
2008,51043,49201.0
2008,51045,29233.0
2008,51047,36398.0
2008,51049,27438.0
2008,51051,25791.0
2008,51057,34125.0
2008,51061,55633.0
2008,51063,28876.0
2008,51065,34681.0
2008,51067,31454.0
2008,51071,30282.0
2008,51073,40570.0
2008,51075,69324.0
2008,51077,25913.0
2008,51079,32530.0
2008,51083,28216.0
2008,51085,45412.0
2008,51087,47629.0
2008,51091,31023.0
2008,51093,44012.0
2008,51097,33181.0
2008,51099,43329.0
2008,51101,38294.0
2008,51103,45974.0
2008,51105,24942.0
2008,51107,63152.0
2008,51109,35425.0
2008,51111,24706.0
2008,51113,32784.0
2008,51115,45793.0
2008,51117,27691.0
2008,51119,39178.0
2008,51125,35628.0
2008,51127,50293.0
2008,51131,35347.0
2008,51133,36267.0
2008,51135,29809.0
2008,51137,36542.0
2008,51139,29552.0
2008,51141,25576.0
2008,51145,40429.0
2008,51147,23789.0
2008,51155,30164.0
2008,51157,50775.0
2008,51159,26571.0
2008,51167,27997.0
2008,51169,26740.0
2008,51171,33188.0
2008,51173,27576.0
2008,51179,45423.0
2008,51181,33135.0
2008,51183,25909.0
2008,51185,31241.0
2008,51187,36955.0
2008,51193,33070.0
2008,51197,29284.0
2008,51510,74276.0
2008,51550,40880.0
2008,51650,34482.0
2008,51700,34322.0
2008,51710,36086.0
2008,51740,33333.0
2008,51760,45723.0
2008,51770,35118.0
2008,51800,41685.0
2008,51810,44908.0
2008,51901,51291.0
2008,51903,31582.0
2008,51907,35094.0
2008,51911,31649.0
2008,51913,27533.0
2008,51918,33770.0
2008,51919,68115.0
2008,51921,39011.0
2008,51923,25895.0
2008,51929,29523.0
2008,51931,53226.0
2008,51933,27892.0
2008,51939,27884.0
2008,51941,32124.0
2008,51942,46556.0
2008,51944,42036.0
2008,51945,31732.0
2008,51947,30279.0
2008,51949,30420.0
2008,51951,40540.0
2008,51953,36164.0
2008,51955,27462.0
2008,51958,48277.0
2009,51001,32962.0
2009,51007,31894.0
2009,51009,29604.0
2009,51011,30888.0
2009,51013,74200.0
2009,51017,36642.0
2009,51019,35805.0
2009,51021,27456.0
2009,51023,39129.0
2009,51025,26591.0
2009,51027,29343.0
2009,51029,23037.0
2009,51033,33559.0
2009,51036,32456.0
2009,51037,26569.0
2009,51041,42142.0
2009,51043,50518.0
2009,51045,28797.0
2009,51047,36070.0
2009,51049,27033.0
2009,51051,26953.0
2009,51057,33364.0
2009,51061,53677.0
2009,51063,29097.0
2009,51065,34172.0
2009,51067,30916.0
2009,51071,30163.0
2009,51073,40518.0
2009,51075,65740.0
2009,51077,26070.0
2009,51079,32698.0
2009,51083,28207.0
2009,51085,43710.0
2009,51087,44725.0
2009,51091,31877.0
2009,51093,44559.0
2009,51097,33763.0
2009,51099,43656.0
2009,51101,36512.0
2009,51103,43615.0
2009,51105,25421.0
2009,51107,61761.0
2009,51109,34338.0
2009,51111,25221.0
2009,51113,32109.0
2009,51115,45407.0
2009,51117,28219.0
2009,51119,38192.0
2009,51125,35689.0
2009,51127,52560.0
2009,51131,36417.0
2009,51133,36230.0
2009,51135,28981.0
2009,51137,36783.0
2009,51139,29438.0
2009,51141,25636.0
2009,51145,38877.0
2009,51147,23517.0
2009,51155,29681.0
2009,51157,49211.0
2009,51159,26772.0
2009,51167,28353.0
2009,51169,26047.0
2009,51171,32359.0
2009,51173,27396.0
2009,51179,46212.0
2009,51181,33467.0
2009,51183,25786.0
2009,51185,31222.0
2009,51187,36662.0
2009,51193,33118.0
2009,51197,28532.0
2009,51510,71818.0
2009,51550,41418.0
2009,51650,34903.0
2009,51700,34024.0
2009,51710,34000.0
2009,51740,33479.0
2009,51760,41016.0
2009,51770,34140.0
2009,51800,41552.0
2009,51810,43896.0
2009,51901,48390.0
2009,51903,30995.0
2009,51907,35011.0
2009,51911,30615.0
2009,51913,27891.0
2009,51918,33497.0
2009,51919,63972.0
2009,51921,37498.0
2009,51923,25496.0
2009,51929,29133.0
2009,51931,50556.0
2009,51933,28096.0
2009,51939,27944.0
2009,51941,31323.0
2009,51942,46272.0
2009,51944,41212.0
2009,51945,31174.0
2009,51947,29336.0
2009,51949,30382.0
2009,51951,40855.0
2009,51953,33688.0
2009,51955,28646.0
2009,51958,47432.0
2010,51001,33744.0
2010,51007,33344.0
2010,51009,29799.0
2010,51011,30549.0
2010,51013,79214.0
2010,51017,37801.0
2010,51019,36072.0
2010,51021,27534.0
2010,51023,39446.0
2010,51025,26463.0
2010,51027,29887.0
2010,51029,23803.0
2010,51033,33736.0
2010,51036,32971.0
2010,51037,26986.0
2010,51041,42441.0
2010,51043,51440.0
2010,51045,29576.0
2010,51047,36871.0
2010,51049,27742.0
2010,51051,28396.0
2010,51057,33170.0
2010,51061,55913.0
2010,51063,29793.0
2010,51065,34702.0
2010,51067,31328.0
2010,51071,31353.0
2010,51073,40298.0
2010,51075,67996.0
2010,51077,26716.0
2010,51079,34072.0
2010,51083,28893.0
2010,51085,44730.0
2010,51087,46551.0
2010,51091,32817.0
2010,51093,45374.0
2010,51097,33624.0
2010,51099,45651.0
2010,51101,36240.0
2010,51103,43528.0
2010,51105,25851.0
2010,51107,63771.0
2010,51109,35125.0
2010,51111,25561.0
2010,51113,33640.0
2010,51115,44721.0
2010,51117,28736.0
2010,51119,38521.0
2010,51125,36579.0
