Fauquier County, Virginia January-December Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200801,55.5,2.1
200802,56.3,2.8
200803,56.2,2.7
200804,56.6,3.1
200805,56.2,2.7
200806,56.3,2.8
200807,56.3,2.8
200808,55.9,2.4
200809,55.9,2.4
200810,55.2,1.7
200811,55.1,1.6
200812,55.1,1.7
200901,54.6,1.2
200902,54.5,1.0
200903,54.4,0.9
200904,54.4,0.9
200905,54.5,1.0
200906,54.3,0.8
200907,54.1,0.6
200908,54.4,0.9
200909,54.2,0.7
200910,54.3,0.8
200911,54.6,1.1
200912,54.4,1.0
201001,54.7,1.3
201002,54.2,0.7
201003,54.5,1.0
201004,54.8,1.3
201005,55.0,1.5
201006,55.4,1.9
201007,56.0,2.5
201008,55.9,2.4
201009,56.2,2.7
201010,56.4,2.9
201011,56.2,2.7
201012,55.8,2.4
201101,55.6,2.2
201102,56.2,2.7
201103,55.9,2.4
201104,55.8,2.3
201105,55.7,2.2
201106,55.5,2.0
201107,55.5,2.0
201108,55.5,2.0
201109,55.3,1.8
201110,55.1,1.6
201111,55.3,1.8
201112,56.2,2.8
201201,56.7,3.3
201202,57.0,3.5
201203,57.8,4.3
201204,57.6,4.1
201205,57.7,4.2
201206,57.5,4.0
201207,57.5,4.0
201208,57.4,3.9
201209,57.3,3.8
201210,57.4,3.9
201211,56.9,3.4
201212,56.9,3.5
201301,56.9,3.5
201302,56.4,2.9
201303,55.1,1.6
201304,55.2,1.7
201305,54.8,1.3
201306,54.9,1.4
201307,54.7,1.2
201308,54.4,0.9
201309,54.3,0.8
201310,54.4,0.9
201311,54.4,0.9
201312,54.2,0.8
201401,53.4,0.0
201402,53.3,-0.2
201403,53.2,-0.3
201404,53.0,-0.5
201405,53.2,-0.3
201406,53.2,-0.3
201407,53.0,-0.5
201408,53.0,-0.5
201409,53.2,-0.3
201410,53.2,-0.3
201411,53.2,-0.3
201412,53.3,-0.1
201501,53.6,0.2
201502,53.0,-0.5
201503,53.3,-0.2
201504,53.3,-0.2
201505,53.6,0.1
201506,53.6,0.1
201507,53.7,0.2
201508,53.9,0.4
201509,54.1,0.6
201510,53.9,0.4
201511,54.6,1.1
201512,55.3,1.9
201601,55.4,2.0
201602,56.3,2.8
201603,57.1,3.6
201604,57.0,3.5
201605,56.4,2.9
201606,56.4,2.9
201607,56.6,3.1
201608,57.0,3.5
201609,57.2,3.7
201610,57.5,4.0
201611,57.2,3.7
201612,56.4,3.0
201701,56.9,3.5
201702,57.5,4.0
201703,56.9,3.4
201704,57.4,3.9
201705,57.5,4.0
201706,57.5,4.0
201707,57.4,3.9
201708,57.0,3.5
201709,56.6,3.1
201710,56.8,3.3
201711,56.5,3.0
201712,56.3,2.9
201801,55.8,2.4
201802,55.5,2.0
201803,55.2,1.7
201804,54.5,1.0
201805,55.2,1.7
201806,55.1,1.6
201807,55.0,1.5
201808,55.4,1.9
201809,55.7,2.2
201810,55.6,2.1
201811,55.4,1.9
201812,55.7,2.3
201901,55.9,2.5
201902,55.6,2.1
201903,55.9,2.4
201904,56.5,3.0
201905,56.4,2.9
201906,56.3,2.8
201907,56.6,3.1
201908,56.5,3.0
201909,56.5,3.0
201910,56.6,3.1
201911,56.5,3.0
201912,56.6,3.2
202001,57.0,3.6
202002,57.2,3.7
202003,57.8,4.3
202004,57.3,3.8
202005,56.7,3.2
202006,56.7,3.2
202007,56.8,3.3
202008,56.9,3.4
202009,56.4,2.9
202010,56.3,2.8
202011,57.0,3.5
202012,57.0,3.6
202101,56.7,3.3
202102,56.2,2.7
202103,56.0,2.5
202104,56.2,2.7
202105,56.3,2.8
202106,56.4,2.9
202107,56.1,2.6
202108,56.2,2.7
202109,56.4,2.9
202110,56.8,3.3
202111,56.2,2.7
202112,56.7,3.3
202201,56.3,2.9
202202,56.6,3.1
202203,56.5,3.0
202204,56.4,2.9
202205,56.5,3.0
202206,56.5,3.0
202207,56.5,3.0
202208,56.3,2.8
202209,56.3,2.8
202210,55.6,2.1
202211,55.9,2.4
202212,55.3,1.9
