Wise County, Virginia January-December Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200801,35.43,-12.08
200802,37.58,-9.91
200803,38.94,-8.54
200804,36.68,-10.83
200805,37.27,-10.24
200806,38.06,-9.44
200807,38.84,-8.69
200808,40.81,-6.72
200809,41.05,-6.47
200810,40.48,-7.02
200811,40.95,-6.50
200812,43.89,-3.56
200901,46.64,-0.87
200902,45.77,-1.72
200903,45.84,-1.64
200904,45.60,-1.91
200905,49.69,2.18
200906,51.77,4.27
200907,51.42,3.89
200908,51.50,3.97
200909,56.71,9.19
200910,58.18,10.68
200911,57.24,9.79
200912,57.31,9.86
201001,55.29,7.78
201002,55.20,7.71
201003,53.81,6.33
201004,53.25,5.74
201005,52.70,5.19
201006,52.73,5.23
201007,50.23,2.70
201008,52.11,4.58
201009,47.71,0.19
201010,46.86,-0.64
201011,48.03,0.58
201012,46.67,-0.78
201101,45.16,-2.35
201102,45.45,-2.04
201103,48.81,1.33
201104,53.19,5.68
201105,52.56,5.05
201106,51.84,4.34
201107,55.69,8.16
201108,53.75,6.22
201109,58.94,11.42
201110,60.09,12.59
201111,62.94,15.49
201112,62.73,15.28
201201,63.57,16.06
201202,65.03,17.54
201203,64.15,16.67
201204,60.82,13.31
201205,59.06,11.55
201206,56.24,8.74
201207,57.82,10.29
201208,59.66,12.13
201209,57.35,9.83
201210,57.24,9.74
201211,52.13,4.68
201212,51.87,4.42
201301,56.82,9.31
201302,54.47,6.98
201303,53.78,6.30
201304,54.64,7.13
201305,54.62,7.11
201306,59.76,12.26
201307,56.38,8.85
201308,55.39,7.86
201309,53.66,6.14
201310,51.44,3.94
201311,53.89,6.44
201312,57.07,9.62
201401,51.49,3.98
201402,53.50,6.01
201403,52.20,4.72
201404,50.02,2.51
201405,50.04,2.53
201406,47.54,0.04
201407,48.34,0.81
201408,49.59,2.06
201409,48.11,0.59
201410,53.17,5.67
201411,52.70,5.25
201412,49.37,1.92
201501,49.08,1.57
201502,48.73,1.24
201503,51.66,4.18
201504,54.63,7.12
201505,52.81,5.30
201506,53.12,5.62
201507,54.30,6.77
201508,51.56,4.03
201509,52.71,5.19
201510,50.21,2.71
201511,50.43,2.98
201512,52.04,4.59
201601,52.47,4.96
201602,53.78,6.29
201603,48.91,1.43
201604,46.07,-1.44
201605,49.87,2.36
201606,48.26,0.76
201607,47.26,-0.27
201608,47.95,0.42
201609,46.94,-0.58
201610,43.80,-3.70
201611,43.55,-3.90
201612,45.13,-2.32
201701,46.84,-0.67
201702,43.63,-3.86
201703,46.13,-1.35
201704,50.27,2.76
201705,52.75,5.24
201706,52.79,5.29
201707,50.98,3.45
201708,52.97,5.44
201709,52.39,4.87
201710,57.66,10.16
201711,56.38,8.93
201712,51.37,3.92
201801,49.66,2.15
201802,57.83,10.34
201803,58.76,11.28
201804,54.89,7.38
201805,53.43,5.92
201806,55.99,8.49
201807,56.30,8.77
201808,54.77,7.24
201809,59.74,12.22
201810,56.57,9.07
201811,60.02,12.57
201812,64.00,16.55
201901,65.92,18.41
201902,66.00,18.51
201903,64.75,17.27
201904,66.11,18.60
201905,64.19,16.68
201906,65.37,17.87
201907,66.23,18.70
201908,64.32,16.79
201909,57.83,10.31
201910,58.76,11.26
201911,57.06,9.61
201912,56.72,9.27
202001,56.40,8.89
202002,55.17,7.68
202003,58.55,11.07
202004,62.13,14.62
202005,62.35,14.84
202006,58.68,11.18
202007,59.33,11.80
202008,62.47,14.94
202009,65.88,18.36
202010,66.32,18.82
202011,64.94,17.49
202012,62.70,15.25
202101,61.97,14.46
202102,58.44,10.95
202103,58.87,11.39
202104,52.78,5.27
202105,50.53,3.02
202106,50.33,2.83
202107,47.80,0.27
202108,49.33,1.80
202109,48.89,1.37
202110,48.18,0.68
202111,47.60,0.15
202112,46.60,-0.85
202201,49.04,1.53
202202,50.15,2.66
202203,45.14,-2.34
202204,45.74,-1.77
202205,48.87,1.36
202206,47.79,0.29
202207,56.56,9.03
202208,54.25,6.72
202209,53.05,5.53
202210,51.04,3.54
202211,52.60,5.15
202212,52.26,4.81
